New Column Name,New Column Documentation,Approx Line Number in InterVA_12.py ref,Extracted Column Reference,Extracted Column Documentation,Relationship,Condition,Prerequisite,Origin,META: Original Status,Should Reference,Proposed Reference Documentation,Notes
ELDER,Was (s)he aged 65 years or over at death?,6,age_adult,Question not found in WHO 2012 docs,ge,65,,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260A,Was (s)he aged 65 years or over at death?,
MIDAGE,Was (s)he aged 50 to 64 years at death?,9,ageInYears,Question not found in WHO 2012 docs,ge,50,,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260B,Was (s)he aged 50 to 64 years at death?,
MIDAGE,Was (s)he aged 50 to 64 years at death?,9,ageInYears,Question not found in WHO 2012 docs,le,64,,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260B,Was (s)he aged 50 to 64 years at death?,
MIDAGE,Was (s)he aged 50 to 64 years at death?,10,age_adult,Question not found in WHO 2012 docs,ge,50,,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260B,Was (s)he aged 50 to 64 years at death?,
MIDAGE,Was (s)he aged 50 to 64 years at death?,10,age_adult,Question not found in WHO 2012 docs,le,64,,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260B,Was (s)he aged 50 to 64 years at death?,
ADULT,Was (s)he aged 15-49 years at death?,18,isAdult1,Question not found in WHO 2012 docs,eq,1,,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260C,Was (s)he aged 15-49 years at death?,
ADULT,Was (s)he aged 15-49 years at death?,19,isAdult2,Question not found in WHO 2012 docs,eq,1,,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260C,Was (s)he aged 15-49 years at death?,
CHILD,Was (s)he aged 5 to 14 years at death?,27,isChild,Question not found in WHO 2012 docs,eq,1,,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260D,Was (s)he aged 5 to 14 years at death?,
CHILD,Was (s)he aged 5 to 14 years at death?,28,isChild1,Question not found in WHO 2012 docs,eq,1,,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260D,Was (s)he aged 5 to 14 years at death?,
CHILD,Was (s)he aged 5 to 14 years at death?,29,isChild2,Question not found in WHO 2012 docs,eq,1,,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260D,Was (s)he aged 5 to 14 years at death?,
CHILD,Was (s)he aged 5 to 14 years at death?,40,ageInYears,Question not found in WHO 2012 docs,ge,1,,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260D,Was (s)he aged 5 to 14 years at death?,
CHILD,Was (s)he aged 5 to 14 years at death?,40,ageInYears,Question not found in WHO 2012 docs,le,4,,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260D,Was (s)he aged 5 to 14 years at death?,
CHILD,Was (s)he aged 5 to 14 years at death?,43,age_group,Question not found in WHO 2012 docs,eq,child,,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260D,Was (s)he aged 5 to 14 years at death?,
CHILD,Was (s)he aged 5 to 14 years at death?,52,age_child_days,Question not found in WHO 2012 docs,ge,30.4,,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260D,Was (s)he aged 5 to 14 years at death?,
CHILD,Was (s)he aged 5 to 14 years at death?,52,age_child_months,Question not found in WHO 2012 docs,ge,1,,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260D,Was (s)he aged 5 to 14 years at death?,
CHILD,Was (s)he aged 5 to 14 years at death?,52,age_child_months,Question not found in WHO 2012 docs,le,11,,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260D,Was (s)he aged 5 to 14 years at death?,
CHILD,Was (s)he aged 5 to 14 years at death?,52,age_child_unit,Question not found in WHO 2012 docs,eq,days,,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260D,Was (s)he aged 5 to 14 years at death?,
CHILD,Was (s)he aged 5 to 14 years at death?,52,age_child_unit,Question not found in WHO 2012 docs,eq,months,,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260D,Was (s)he aged 5 to 14 years at death?,
CHILD,Was (s)he aged 5 to 14 years at death?,52,age_child_unit,Question not found in WHO 2012 docs,eq,years,,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260D,Was (s)he aged 5 to 14 years at death?,
CHILD,Was (s)he aged 5 to 14 years at death?,52,age_child_years,Question not found in WHO 2012 docs,ge,1,,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260D,Was (s)he aged 5 to 14 years at death?,
CHILD,Was (s)he aged 5 to 14 years at death?,52,age_child_years,Question not found in WHO 2012 docs,le,4,,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260D,Was (s)he aged 5 to 14 years at death?,
CHILD,Was (s)he aged 5 to 14 years at death?,52,ageInMonths,Question not found in WHO 2012 docs,ge,1,,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260D,Was (s)he aged 5 to 14 years at death?,
CHILD,Was (s)he aged 5 to 14 years at death?,52,ageInMonths,Question not found in WHO 2012 docs,le,11,,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260D,Was (s)he aged 5 to 14 years at death?,
UNDER5,Was (s)he aged 1 to 4 years at death?,62,age_child_unit,Question not found in WHO 2012 docs,eq,days,,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260E,Was (s)he aged 1 to 4 years at death?,
UNDER5,Was (s)he aged 1 to 4 years at death?,62,age_child_unit,Question not found in WHO 2012 docs,eq,months,,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260E,Was (s)he aged 1 to 4 years at death?,
UNDER5,Was (s)he aged 1 to 4 years at death?,62,ageInYears,Question not found in WHO 2012 docs,ge,1,,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260E,Was (s)he aged 1 to 4 years at death?,
UNDER5,Was (s)he aged 1 to 4 years at death?,62,ageInYears,Question not found in WHO 2012 docs,le,4,,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260E,Was (s)he aged 1 to 4 years at death?,
UNDER5,Was (s)he aged 1 to 4 years at death?,65,age_group,Question not found in WHO 2012 docs,eq,child,,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260E,Was (s)he aged 1 to 4 years at death?,
INFANT,Was (s)he aged 1 to 11 months at death?,75,age_child_days,Question not found in WHO 2012 docs,ge,30.4,,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260F,Was (s)he aged 1 to 11 months at death?,
INFANT,Was (s)he aged 1 to 11 months at death?,75,age_child_months,Question not found in WHO 2012 docs,ge,1,,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260F,Was (s)he aged 1 to 11 months at death?,
INFANT,Was (s)he aged 1 to 11 months at death?,75,age_child_months,Question not found in WHO 2012 docs,le,11,,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260F,Was (s)he aged 1 to 11 months at death?,
INFANT,Was (s)he aged 1 to 11 months at death?,75,age_child_unit,Question not found in WHO 2012 docs,eq,days,,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260F,Was (s)he aged 1 to 11 months at death?,
INFANT,Was (s)he aged 1 to 11 months at death?,75,age_child_unit,Question not found in WHO 2012 docs,eq,months,,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260F,Was (s)he aged 1 to 11 months at death?,
INFANT,Was (s)he aged 1 to 11 months at death?,75,ageInMonths,Question not found in WHO 2012 docs,ge,1,,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260F,Was (s)he aged 1 to 11 months at death?,
INFANT,Was (s)he aged 1 to 11 months at death?,75,ageInMonths,Question not found in WHO 2012 docs,le,11,,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260F,Was (s)he aged 1 to 11 months at death?,
INFANT,Was (s)he aged 1 to 11 months at death?,78,age_group,Question not found in WHO 2012 docs,eq,child,,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260F,Was (s)he aged 1 to 11 months at death?,
NEONATE,Was (s)he aged 28 days or less at death?,88,isNeonatal,Question not found in WHO 2012 docs,eq,1,,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260G,Was (s)he aged 28 days or less at death?,
NEONATE,Was (s)he aged 28 days or less at death?,89,isNeonatal1,Question not found in WHO 2012 docs,eq,1,,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260G,Was (s)he aged 28 days or less at death?,
NEONATE,Was (s)he aged 28 days or less at death?,90,isNeonatal2,Question not found in WHO 2012 docs,eq,1,,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260G,Was (s)he aged 28 days or less at death?,
DIED_D1,Did the baby die within 24 hours of birth?,134,age_neonate_days,Question not found in WHO 2012 docs,le,1,NEONATE,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260H,Did the baby die within 24 hours of birth?,
DIED_D1,Did the baby die within 24 hours of birth?,134,age_neonate_hours,Question not found in WHO 2012 docs,le,24,NEONATE,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260H,Did the baby die within 24 hours of birth?,
DIED_D1,Did the baby die within 24 hours of birth?,134,ageInDays,Question not found in WHO 2012 docs,eq,0,NEONATE,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260H,Did the baby die within 24 hours of birth?,
DIED_D1,Did the baby die within 24 hours of birth?,137,age_group,Question not found in WHO 2012 docs,eq,neonate,NEONATE,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260H,Did the baby die within 24 hours of birth?,
DIED_D23,Did the baby die more than 24 hours after birth but within 48 hours from birth?,147,age_neonate_days,Question not found in WHO 2012 docs,gt,0,NEONATE,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260I,Did baby die more than 24 hours after but less than 48 hours from birth?,
DIED_D23,Did the baby die more than 24 hours after birth but within 48 hours from birth?,147,age_neonate_days,Question not found in WHO 2012 docs,le,2,NEONATE,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260I,Did baby die more than 24 hours after but less than 48 hours from birth?,
DIED_D23,Did the baby die more than 24 hours after birth but within 48 hours from birth?,147,age_neonate_hours,Question not found in WHO 2012 docs,gt,24,NEONATE,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260I,Did baby die more than 24 hours after but less than 48 hours from birth?,
DIED_D23,Did the baby die more than 24 hours after birth but within 48 hours from birth?,147,age_neonate_hours,Question not found in WHO 2012 docs,le,48,NEONATE,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260I,Did baby die more than 24 hours after but less than 48 hours from birth?,
DIED_D23,Did the baby die more than 24 hours after birth but within 48 hours from birth?,147,ageInDays,Question not found in WHO 2012 docs,eq,1,NEONATE,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260I,Did baby die more than 24 hours after but less than 48 hours from birth?,
DIED_D23,Did the baby die more than 24 hours after birth but within 48 hours from birth?,150,age_group,Question not found in WHO 2012 docs,eq,neonate,NEONATE,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260I,Did baby die more than 24 hours after but less than 48 hours from birth?,
DIED_D36,Did baby die more than 48 hours from birth but within the first week of life?,160,age_neonate_days,Question not found in WHO 2012 docs,gt,2,NEONATE,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260J,Did baby die more than 48 hours from birth but within the first week of life?,
DIED_D36,Did baby die more than 48 hours from birth but within the first week of life?,160,age_neonate_days,Question not found in WHO 2012 docs,le,7,NEONATE,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260J,Did baby die more than 48 hours from birth but within the first week of life?,
DIED_D36,Did baby die more than 48 hours from birth but within the first week of life?,160,age_neonate_hours,Question not found in WHO 2012 docs,gt,48,NEONATE,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260J,Did baby die more than 48 hours from birth but within the first week of life?,
DIED_D36,Did baby die more than 48 hours from birth but within the first week of life?,160,ageInDays,Question not found in WHO 2012 docs,gt,2,NEONATE,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260J,Did baby die more than 48 hours from birth but within the first week of life?,
DIED_D36,Did baby die more than 48 hours from birth but within the first week of life?,160,ageInDays,Question not found in WHO 2012 docs,le,7,NEONATE,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260J,Did baby die more than 48 hours from birth but within the first week of life?,
DIED_D36,Did baby die more than 48 hours from birth but within the first week of life?,163,age_group,Question not found in WHO 2012 docs,eq,neonate,NEONATE,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260J,Did baby die more than 48 hours from birth but within the first week of life?,
DIED_W1,"Did baby die after first week, but within first 28 days?",173,age_neonate_days,Question not found in WHO 2012 docs,gt,7,NEONATE,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260K,"Did baby die after first week, but within first 28 days?",
DIED_W1,"Did baby die after first week, but within first 28 days?",173,age_neonate_days,Question not found in WHO 2012 docs,le,28,NEONATE,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260K,"Did baby die after first week, but within first 28 days?",
DIED_W1,"Did baby die after first week, but within first 28 days?",173,ageInDays,Question not found in WHO 2012 docs,gt,7,NEONATE,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260K,"Did baby die after first week, but within first 28 days?",
DIED_W1,"Did baby die after first week, but within first 28 days?",173,ageInDays,Question not found in WHO 2012 docs,le,28,NEONATE,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260K,"Did baby die after first week, but within first 28 days?",
DIED_W1,"Did baby die after first week, but within first 28 days?",176,age_group,Question not found in WHO 2012 docs,eq,neonate,NEONATE,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260K,"Did baby die after first week, but within first 28 days?",
MAGEGP1,Was this a woman aged 12 to 19 years at death?,110,ageInYears,Question not found in WHO 2012 docs,ge,12,FEMALE,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260L,Was this a woman aged 12 to 19 years at death?,changed from MAGEP1 to MAGEGP1
MAGEGP1,Was this a woman aged 12 to 19 years at death?,113,ageInYears,Question not found in WHO 2012 docs,le,19,FEMALE,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260L,Was this a woman aged 12 to 19 years at death?,changed from MAGEP1 to MAGEGP1
MAGEGP2,Was this a woman aged 20-34 years at death?,118,ageInYears,Question not found in WHO 2012 docs,ge,20,FEMALE,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260M,Was this a woman aged 20-34 years at death?,changed from MAGEP2 to MAGEGP2
MAGEGP2,Was this a woman aged 20-34 years at death?,121,ageInYears,Question not found in WHO 2012 docs,le,34,FEMALE,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260M,Was this a woman aged 20-34 years at death?,changed from MAGEP2 to MAGEGP2
MAGEGP3,Was this a woman aged 35-49 years at death?,125,ageInYears,Question not found in WHO 2012 docs,ge,35,FEMALE,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260N,Was this a woman aged 35-49 years at death?,changed from MAGEP3 to MAGEGP3
MAGEGP3,Was this a woman aged 35-49 years at death?,128,ageInYears,Question not found in WHO 2012 docs,le,49,FEMALE,from original pyCrossVA code,"looks like question is from WHO 2016, not WHO 2012",1A260N,Was this a woman aged 35-49 years at death?,
TUBER,Was there any diagnosis of Tuberculosis,211,3A100,Was there any diagnosis of Tuberculosis?,eq,yes,,from original pyCrossVA code,ok,3A100,Was there any diagnosis of Tuberculosis?,
HIV_AIDS,Was there any diagnosis of HIV/AIDS,215,3A100,Was there any diagnosis of Tuberculosis?,eq,yes,,from original pyCrossVA code,Believed error,3A110,Was there any diagnosis of HIV/AIDS?,
MALARIA,Did (s)he have a recent positive test for malaria?,281,3A120,Did (s)he have a recent positive test for malaria?,eq,yes,,from original pyCrossVA code,ok,3A120,Did (s)he have a recent positive test for malaria?,
MALARNEG,Did (s)he have a recent negative test for malaria?,285,3A130,Did (s)he have a recent negative test for malaria?,eq,yes,,from original pyCrossVA code,ok,3A130,Did (s)he have a recent negative test for malaria?,
MEASLES,Was there any diagnosis of Measles,267,3A270,Was there any diagnosis of liver disease?,eq,yes,,from original pyCrossVA code,Believed error,3A140,Was there any diagnosis of Measles?,
HYPERT,Was there any diagnosis of High Blood pressure,220,3A150,Was there any diagnosis of High Blood pressure?,eq,yes,,from original pyCrossVA code,Believed error,3A150,Was there any diagnosis of High Blood pressure?,
HEART_DIS,Was there any diagnosis of Heart disease,207,3A160,Was there any diagnosis of heart disease?,eq,yes,,from original pyCrossVA code,ok,3A160,Was there any diagnosis of heart disease?,
DIABETES,Was there any diagnosis of Diabetes,224,3A150,Was there any diagnosis of High Blood pressure?,eq,yes,,from original pyCrossVA code,Believed error,3A170,Was there any diagnosis of diabetes?,
ASTHMA,Was there any diagnosis of Asthma,228,3A150,Was there any diagnosis of High Blood pressure?,eq,yes,,from original pyCrossVA code,Believed error,3A180,Was there any diagnosis of asthma?,
EPILEPSY,Was there any diagnosis of Epilepsy,231,3A150,Was there any diagnosis of High Blood pressure?,eq,yes,,from original pyCrossVA code,Believed error,3A190,Was there any diagnosis of epilepsy?,
CANCER,Was there any diagnosis of Cancer,235,3A150,Was there any diagnosis of High Blood pressure?,eq,yes,,from original pyCrossVA code,Believed error,3A200,Was there any diagnosis of cancer?,
COPD,Was there any diagnosis of Chronic Obstructive Pumonary Disease (COPD),239,3A210,Was there any diagnosis of Chronic Obstructive Pulmonary Disease (COPD)?,eq,yes,,from original pyCrossVA code,ok,3A210,was there any diagnosis of chronic obstructive pulmonary disease (copd)?,
DEMENT,Was there any diagnosis of Dementia,243,3A210,Was there any diagnosis of Chronic Obstructive Pulmonary Disease (COPD)?,eq,yes,,from original pyCrossVA code,Believed error,3A220,Was there any diagnosis of dementia?,
DEPRESS,Was there any diagnosis of Depression,247,3A210,Was there any diagnosis of Chronic Obstructive Pulmonary Disease (COPD)?,eq,yes,,from original pyCrossVA code,Believed error,3A230,Was there any diagnosis of depression?,
STROKE, Was there any diagnosis of Stroke,251,3A210,Was there any diagnosis of Chronic Obstructive Pulmonary Disease (COPD)?,eq,yes,,from original pyCrossVA code,Believed error,3A240,Was there any diagnosis of stroke?,
SICKLE,Was there any diagnosis of Sickle cell disease,255,3A250,Was there any diagnosis of sickle cell disease?,eq,yes,,from original pyCrossVA code,ok,3A250,Was there any diagnosis of sickle cell disease?,
KIDNEY_DIS,Was there any diagnosis of Kidney disease,259,3A260,Was there any diagnosis of kidney disease?,eq,yes,,from original pyCrossVA code,ok,3A260,Was there any diagnosis of kidney disease?,
LIVER_DIS,Was there any diagnosis of Liver disease,263,3A270,Was there any diagnosis of liver disease?,eq,yes,,from original pyCrossVA code,ok,3A270,Was there any diagnosis of liver disease?,
WET_SEAS,Did (s)he die during the wet season?,200,3A280,Did (s)he die during the wet season?,eq,wet,,from original pyCrossVA code,Looks like WHO 2012 has specific question for this,3A280,Did (s)he die during the wet season?,
DRY_SEAS,Did (s)he die during the dry season?,203,3A280,Did (s)he die during the wet season?,eq,dry,,from original pyCrossVA code,Looks like WHO 2012 has specific question for this,3A290,Did (s)he die during the dry season?,
ACUTE,Was (s)he ill for less than 3 weeks before death?,188,3A300,For how long was (s)he ill before (s)he died?,lt,21,,from original pyCrossVA code,Looks like WHO 2012 has specific question for this,3A300A,Was (s)he ill for less than 3 weeks before death?,
ACUTE,Was (s)he ill for less than 3 weeks before death?,188,3A300,For how long was (s)he ill before (s)he died?,gt,0,,from original pyCrossVA code,Unnecessary,3A300A,Was (s)he ill for less than 3 weeks before death?,
CHRONIC,Was (s)he ill for 3 weeks or more before death?,192,3A300,For how long was (s)he ill before (s)he died?,ge,21,,from original pyCrossVA code,Looks like WHO 2012 has specific question for this,3A300B,Was (s)he ill for 3 weeks or more before death?,
SUDDEN,Did (s)he die suddenly?,196,3A310,Did (s)he die suddenly?,eq,yes,,from original pyCrossVA code,ok,3A310,Did (s)he die suddenly?,
FEVER,Did (s)he have a fever?,291,3B100,Did (s)he have a fever?,eq,yes,,from original pyCrossVA code,ok,3B100,Did (s)he have a fever?,
AC_FEVER,Did (s)he have fever for less than 2 weeks before death?,300,Not Found,Question not found in WHO 2012 docs,lt,14,FEVER,from original pyCrossVA code,Missing,3B110A,Did (s)he have fever for less than 2 weeks before death?,
CH_FEVER,Did (s)he have fever for 2 weeks or more before death?,303,Not Found,Question not found in WHO 2012 docs,ge,14,FEVER,from original pyCrossVA code,Missing,3B110B,Did (s)he have fever for 2 weeks or more before death?,
NIGHT_SW,Did (s)he have night sweats?,311,3B120,Did (s)he have night sweats?,eq,yes,,from original pyCrossVA code,ok,3B120,Did (s)he have night sweats?,
COUGH,Did (s)he have a cough?,314,3B130,Did (s)he have a cough?,eq,yes,,from original pyCrossVA code,ok,3B130,Did (s)he have a cough?,
AC_COUGH,Did (s)he have a cough for less than 3 weeks before death?,317,3B140,For how long did (s)he have a cough?,lt,21,COUGH,from original pyCrossVA code,Looks like WHO 2012 has specific question for this,3B140A,Did (s)he have a cough for less than 3 weeks before death?,
CH_COUGH,Did (s)he have a cough for 3 weeks or more before death?,320,3B140,For how long did (s)he have a cough?,ge,21,COUGH,from original pyCrossVA code,Looks like WHO 2012 has specific question for this,3B140B,Did (s)he have a cough for 3 weeks or more before death?,
PR_COUGH,Was the cough productive with sputum?,324,3B150,Was the cough productive with sputum?,eq,yes,,from original pyCrossVA code,ok,3B150,"Was the cough productive, with sputum?",
BL_COUGH,Did (s)he cough up blood?,328,3B160,Did (s)he cough up blood?,eq,yes,,from original pyCrossVA code,ok,3B160,Did (s)he cough up blood?,
WHOOP,Did (s)he make a whooping sound when coughing?,332,3B170,Did (s)he make a whooping sound when coughing?,eq,yes,,from original pyCrossVA code,ok,3B170,Did (s)he make a whooping sound when coughing?,
BREATH,Did (s)he have any breathing problem?,336,3B170,Did (s)he make a whooping sound when coughing?,eq,yes,,from original pyCrossVA code,Believed error,3B180,Did (s)he have any breathing problem?,
RAPID_BR,Did (s)he have fast breathing?,340,3B190,Did (s)he have fast breathing?,eq,yes,,from original pyCrossVA code,ok,3B190,Did (s)he have fast breathing?,
AC_RPBR,Did (s)he have fast breathing for less than 2 weeks?,354,Not Found,Question not found in WHO 2012 docs,lt,14,RAPID_BR,from original pyCrossVA code,Missing,3B200A,Did (s)he have fast breathing for less than 2 weeks?,
CH_RPBR,Did (s)he have fast breathing for 2 weeks or more?,357,Not Found,Question not found in WHO 2012 docs,ge,14,RAPID_BR,from original pyCrossVA code,Missing,3B200B,Did (s)he have fast breathing for 2 weeks or more?,
BR_LESS,Did (s)he have breathlessness?,360,3B210,Did (s)he have breathlessness?,eq,yes,,from original pyCrossVA code,ok,3B210,Did (s)he have breathlessness?,
AC_BRL,Did (s)he have breathlessness for less than 2 weeks?,364,Not Found,Question not found in WHO 2012 docs,gt,0,BR_LESS,from original pyCrossVA code,Missing,3B220A,Did (s)he have breathlessness for less than 2 weeks?,
EXERT_BR,Was (s)he unable to carry out daily routines due to breathlessness?,370,3B230,Was (s)he unable to carry out daily routines due to breathlessness?,eq,yes,BR_LESS,from original pyCrossVA code,ok,3B230,Was (s)he unable to carry out daily routines due to breathlessness?,
LYING_BR,Was (s)he breathless while lying flat?,373,3B240,Was (s)he breathless while lying flat?,eq,yes,BR_LESS,from original pyCrossVA code,ok,3B240,Was (s)he breathless while lying flat?,
CHEST_IN,Did you see the lower chest wall/ribs being pulled in as the child breathed?,376,3B250,Did you see the lower chest wall/ribs being pulled in as the child breathed?,eq,yes,,from original pyCrossVA code,ok,3B250,did you see the lower chest wall/ribs being pulled in as the child BREATHED?,
WHEEZE,Did (s)he have noisy breathing (grunting or wheezing)?,379,Not Found,Question not found in WHO 2012 docs,eq,stridor,,from original pyCrossVA code,Missing,3B260,Did (s)he have noisy breathing (grunting or wheezing)?,
WHEEZE,Did (s)he have noisy breathing (grunting or wheezing)?,379,Not Found,Question not found in WHO 2012 docs,eq,grunting,,from original pyCrossVA code,Missing,3B260,Did (s)he have noisy breathing (grunting or wheezing)?,
WHEEZE,Did (s)he have noisy breathing (grunting or wheezing)?,379,Not Found,Question not found in WHO 2012 docs,eq,wheezing,,from original pyCrossVA code,Missing,3B260,Did (s)he have noisy breathing (grunting or wheezing)?,
CH_PAIN,Did (s)he have severe chest pain?,382,3B270,Did (s)he have severe chest pain?,eq,yes,,from original pyCrossVA code,ok,3B270,did (s)he have SEVERE chest pain?,
DIARR,Did (s)he have diarrhea?,399,Not Found,Question not found in WHO 2012 docs,eq,yes,,from original pyCrossVA code,Missing,3B280,Did (s)he have diarrhoea?,
DIARR,Did (s)he have diarrhea?,399,Not Found,Question not found in WHO 2012 docs,eq,diarrhea,,from original pyCrossVA code,Missing,3B280,Did (s)he have diarrhoea?,
AC_DIARR,Did (s)he have diarrhea for less than 2 weeks?,402,Not Found,Question not found in WHO 2012 docs,eq,yes,DIARR,from original pyCrossVA code,Missing,3B290A,Did (s)he have diarrhoea for less than 2 weeks?,
