New Column Name,New Column Documentation,Source Column ID,Source Column Documentation,Relationship,Condition,Prerequisite
BORN_3437,Had the pregnancy lasted between 34 and 37 weeks when the baby was born?,Id10367,(Id10367) How many months long was the pregnancy before the child was born?,eq,8,
BORN_38,Had the pregnancy lasted more than 37 weeks when the baby was born?,Id10367,(Id10367) How many months long was the pregnancy before the child was born?,ge,9,
BORN_38,Had the pregnancy lasted more than 37 weeks when the baby was born?,Id10367,(Id10367) How many months long was the pregnancy before the child was born?,lt,9,
BORN_BIG,"Was the baby larger than normal, weighing over 4.5 kg?",Id10365,"(Id10365) At birth, was the baby larger than usual, (weighing over 4.5 kg)?",eq,yes,
BORN_EARLY,Had the pregnancy lasted less than 34 weeks when the baby was born?,Id10347,(Id10347) Was the baby born more than one month early?,eq,yes,
BORN_EARLY,Had the pregnancy lasted less than 34 weeks when the baby was born?,Id10367,(Id10367) How many months long was the pregnancy before the child was born?,lt,8,
BORN_MALF,Did the baby/the child have any malformation?,Id10370,"(Id10370) Was any part of the baby physically abnormal at time of delivery? (for example: body part too large or too small, additional growth on body)?",eq,yes,
BORN_NOBR,Was the baby given assistance to breathe at birth?,Id10113,(Id10113) Was the baby given assistance to breathe at birth?,eq,yes,
BORN_SMALL,"Was the baby smaller than normal, weighing under 2.5 kg?",Id10363,"(Id10363) At birth, was the baby smaller than usual, (weighing under 2.5 kg)?",eq,yes,
BPR_PREG,"During pregnancy, did she suffer from high blood pressure?",Id10321,"(Id10321) During pregnancy, did she suffer from high blood pressure?",eq,yes,
BR_LESS,Did (s)he have breathlessness?,Id10168,(Id10168) Did (s)he have breathlessness?,eq,yes,
BREAST_FD,Was she breastfeeding at death?,Id10318,(Id10318) Was she breastfeeding the child in the days before death?,eq,yes,
BREATH,Did (s)he have any breathing problem?,Id10159,(Id10159) Did (s)he have any difficulty breathing?,eq,yes,
CANCER,Was there any diagnosis of Cancer,Id10137,(Id10137) Was there any diagnosis by a health professional of cancer?,eq,yes,
CH_ABDM,Did (s)he have a lump inside the abdomen for 2 weeks or more?,Id10205,(Id10205) Calculated number of Days with a mass in the belly (abdomen),ge,14,
CH_ABDP,Did the abdominal pain last for 2 weeks or more?,Id10197,(Id10197) Calculated number of Days with belly pain,ge,14,
CH_CONV,Did the convulsions last for 10 minutes or more?,Id10221,(Id10221) For how many minutes did the convulsions last?,ge,10,
CH_COUGH,Did (s)he have a cough for 3 weeks or more before death?,Id10154,(Id10154) For how many days did (s)he have a cough?,ge,21,
CH_DIARR,Did (s)he have diarrhea for 4 weeks or more?,Id10182,(Id10182) For how many days did (s)he have frequent loose or liquid stools?,gt,28,
CH_FEVER,Did (s)he have fever for 2 weeks or more before death?,Id10148,(Id10148) How many days did the fever last?,ge,14,
CH_PAIN,Did (s)he have severe chest pain?,Id10174,(Id10174) Did (s)he have chest pain?,eq,yes,
CH_RASH,Did (s)he have the skin rash for 1 week or more?,Id10234,(Id10234) For how many days did (s)he have the skin rash?,ge,7,
CH_RPBR,Did (s)he have fast breathing for 2 weeks or more?,Id10167,(Id10167) How long did the fast breathing last?,ge,14,
CH_STNK,Did (s)he have a stiff or painful neck for 1 week or more?,Id10211,(Id10211) For how many days before death did (s)he have a painful neck?,ge,7,
CH_SWAB,Did (s)he have a more than usually protruding abdomen for 2 weeks or more?,Id10201,(Id10201) Calculated number of Days with protruding belly (abdomen),ge,14,
CHEST_IN,Did you see the lower chest wall/ribs being pulled in as the child breathed?,Id10172,(Id10172) Did you see the lower chest wall/ribs being pulled in as the child breathed in?,eq,yes,
CHILD,Was (s)he aged 5 to 14 years at death?,ageInYears,Calculated field: int(${ageInDays} div 365.25),between,5 to 14,
CHRONIC,Was (s)he ill for 3 weeks or more before death?,Id10120,(Id10120) Calculated number of Days with illness,ge,21,
CO_ONS,Did the unconsciousness start suddenly (at least within a single day)?,Id10217,"(Id10217) Did the unconsciousness start suddenly, quickly (at least within a single day)?",eq,yes,
COLD,Did the baby become cold to the touch before it died?,Id10284,"(Id10284) During the illness that led to death, did the baby become cold to touch?",eq,yes,
COMA,Was (s)he unconscious for more than 24 hours before death?,Id10215,(Id10215) Was (s)he unconscious for more than 24 hours before death?,eq,yes,
COMDEL,Was the child born in a complicated delivery?,Id10369,(Id10369) Were there any complications during labour or delivery? ,eq,yes,
CONV_D1,Did the baby have convulsions starting within the first day of life?,Id10275,(Id10275) Did the baby have convulsions starting within the first 24 hours of life?,eq,yes,
CONV_D2,Did the baby have convulsions starting on the second day or later after birth?,Id10276,(Id10276) Did the baby have convulsions starting more than 24 hours after birth?,eq,yes,
CONVUL,Did (s)he have convulsions?,Id10219,(Id10219) Did (s)he have convulsions?,eq,yes,
COPD,Was there any diagnosis of Chronic Obstructive Pumonary Disease (COPD),Id10138,(Id10138) Was there any diagnosis by a health professional of Chronic Obstructive Pulmonary Disease (COPD)?,eq,yes,
CORD,Was the umbilical cord wrapped several times (more than once) around the neck of the child at birth?,Id10404,(Id10404) Was the umbilical cord wrapped more than once around the neck of the child at birth?,eq,yes,
COUGH,Did (s)he have a cough?,Id10153,(Id10153) Did (s)he have a cough?,eq,yes,
CRIED,"Did the baby cry after birth, even if only a little bit?",Id10105,"(Id10105) Did the baby cry immediately after birth, even if only a little bit?",eq,yes,
CS_PREV,Did she have any previous Caesarean section?,Id10320,(Id10320) Had she had any previous Caesarean section?,eq,yes,
CYANOSIS,Was the baby blue in colour at birth?,Id10406,(Id10406) Was the baby blue in colour at birth?,eq,yes,
D_BLEED,Was there excessive vaginal bleeding during labour?,Id10328,(Id10328) Did she have excessive bleeding during labour or delivery?,eq,yes,
DEATH_24,Did she die within 24 hours after delivery,Id10314,(Id10314) Did she die within 24 hours after delivery?,eq,yes,
DEL_6WKS,Did she die within 6 weeks of giving birth?,Id10306,"(Id10306) Did she die within 6 weeks of delivery, abortion or miscarriage?",eq,yes,
DEL_ASS,"Did she have an assisted delivery, with forceps/vacuum?",Id10343,"(Id10343) Was the delivery vaginal, with forceps or vacuum?",eq,yes,
DEL_CS,Did she deliver by Caesarean section?,Id10344,(Id10344) Was the delivery a Caesarean section?,eq,yes,
DEL_ELSE,"Did she give birth elsewhere, e.g. on the way to a facility?",Id10337,(Id10337) Where did she give birth?,eq,other,
DEL_ELSE,"Did she give birth elsewhere, e.g. on the way to a facility?",Id10337,(Id10337) Where did she give birth?,eq,on_route_to_hospital_or_facility,
DEL_FAC,Did she give birth in a health facility?,Id10337,(Id10337) Where did she give birth?,eq,other_health_facility,
DEL_FAC,Did she give birth in a health facility?,Id10337,(Id10337) Where did she give birth?,eq,hospital,
DEL_HOME,Did she give birth at home?,Id10337,(Id10337) Where did she give birth?,eq,home,
DEL_NORM,Did she have a normal vaginal delivery?,Id10342,"(Id10342) Was the delivery normal vaginal, without forceps or vacuum?",eq,yes,
DEMENT,Was there any diagnosis of Dementia,Id10139,(Id10139) Was there any diagnosis by a health professional of dementia?,eq,yes,
DEPRESS,Was there any diagnosis of Depression,Id10140,(Id10140) Was there any diagnosis by a health professional of depression?,eq,yes,
DEVEL,Was the baby/the child not growing normally?,Id10408,"(Id10408) Before the illness that led to death, was the baby/the child growing normally?",eq,yes,
DIABETES,Was there any diagnosis of Diabetes,Id10134,(Id10134) Was there any diagnosis by a health professional of diabetes?,eq,yes,
DIARR,Did (s)he have diarrhea?,Id10181,(Id10181) Did (s)he have more frequent loose or liquid stools than usual?,eq,yes,
DIARR,Did (s)he have diarrhea?,Id10478,(Id10478) [Select any of the following words that were mentioned as present in the narrative.],contains,diarrhea,
DIED_D1,Did the baby die within 24 hours of birth?,ageInDaysNeonate,"Calculated field: if(${ageInDays} = 'NaN' or string-length(${ageInDays}) = 0, ${age_neonate_days}, ${ageInDays})",le,1,
DIED_D23,Did the baby die more than 24 hours after birth but within 48 hours from birth?,ageInDaysNeonate,"Calculated field: if(${ageInDays} = 'NaN' or string-length(${ageInDays}) = 0, ${age_neonate_days}, ${ageInDays})",gt,0,
DIED_D36,Did baby die more than 48 hours from birth but within the first week of life?,ageInDaysNeonate,"Calculated field: if(${ageInDays} = 'NaN' or string-length(${ageInDays}) = 0, ${age_neonate_days}, ${ageInDays})",le,7,
DIED_LAB,"Did she die during labour, but undelivered?",Id10312,(Id10312) Did she die during labour or delivery?,eq,yes,
DIED_W1,"Did baby die after first week, but within first 28 days?",ageInDaysNeonate,"Calculated field: if(${ageInDays} = 'NaN' or string-length(${ageInDays}) = 0, ${age_neonate_days}, ${ageInDays})",le,28,
DIFF_SW,Did (s)he have difficulty or pain while swallowing liquids?,Id10263,"(Id10263) Was the difficulty with swallowing with solids, liquids, or both?",eq,yes,
DISCH,Was (s)he discharged from hospital very ill?,Id10427,(Id10427) Was (s)he discharged from hospital very ill?,eq,yes,
DISCH_SM,Did she have foul smelling vaginal discharge during pregnancy or after delivery?,Id10322,(Id10322) Did she have foul smelling vaginal discharge during pregnancy or after delivery?,eq,yes,
DROWN,Did (s)he die of drowning?,Id10085,(Id10085) Did (s)he die of drowning?,eq,yes,
DRY_SEAS,Did (s)he die during the dry season?,Id10004,(Id10004) [During which season did (s)he die?],eq,dry,
E_BLEED,Was there vaginal bleeding during the first 6 months of pregnancy?,Id10326,(Id10326) Was there vaginal bleeding during the first 6 months of pregnancy?,eq,yes,
ELDER,Was (s)he aged 65 years or over at death?,age_adult,[Enter adult's age in years:],ge,65,
ELDER,Was (s)he aged 65 years or over at death?,ageInYears,Calculated field: int(${ageInDays} div 365.25),ge,65,
EPILEPSY,Was there any diagnosis of Epilepsy,Id10136,(Id10136) Was there any diagnosis by a health professional of epilepsy?,eq,yes,
EXC_DRINK,Did (s)he drink a lot more water than usual?,Id10270,(Id10270) Did (s)he drink a lot more water than usual?,eq,yes,
EXC_URINE,Did (s)he go to urinate more often than usual?,Id10225,(Id10225) Did (s)he go to urinate more often than usual?,eq,yes,
EXERT_BR,Was (s)he unable to carry out daily routines due to breathlessness?,Id10170,(Id10170) Was (s)he unable to carry out daily routines due to breathlessness?,eq,yes,
EYE_SUNK,Did (s)he have sunken eyes?,Id10269,(Id10269) Did (s)he have sunken eyes?,eq,yes,
FALL,Was (s)he Injured in a fall?,Id10083,(Id10083) Was (s)he injured in a fall?,eq,yes,
FED_D1,Was the baby able to suckle or bottle?feed within first 24 hours after birth?,Id10271,(Id10271) Was the baby able to suckle or bottle-feed within the first 24 hours after birth?,eq,yes,
FEMALE,Was the deceased female?,Id10019,(Id10019) What was the sex of the deceased?,eq,female,
FEVER,Did (s)he have a fever?,Id10147,(Id10147) Did (s)he have a fever?,eq,yes,
FEVER,Did (s)he have a fever?,Id10477,(Id10477) [Select any of the following words that were mentioned as present in the narrative.],contains,fever,
FEVER,Did (s)he have a fever?,Id10478,(Id10478) [Select any of the following words that were mentioned as present in the narrative.],contains,fever,
FIRE,Did (s)he suffer from burns?,Id10089,(Id10089) Was (s)he injured by burns/fire?,eq,yes,
FIRST_P,Was this the woman's first pregnancy?,Id10319,"(Id10319) How many births, including stillbirths, did she/the mother have before this baby?",eq,0,
FIT_PREG,"During the last 3 months of pregnancy, did she suffer from convulsions?",Id10323,"(Id10323) During the last 3 months of pregnancy, did she suffer from convulsions?",eq,yes,
FONT_HI,Did the child have a bulging or raised fontanelle?,Id10278,"(Id10278) During the illness that led to death, did the baby have a bulging or raised fontanelle? ",eq,yes,
FONT_LO,Did the child have a sunken fontanelle?,Id10279,"(Id10279) During the illness that led to death, did the baby have a sunken fontanelle? ",eq,yes,
FORCE,Was (s)he injured by a force of nature,Id10095,(Id10095) Was (s)he injured by a force of nature?,eq,yes,
HAIR,Did her/his hair colour change to reddish or yellowish?,Id10267,(Id10267) Did her/his hair change in color to a reddish or yellowish color?,eq,yes,
HEADACHE,Did (s)he have a severe headache?,Id10207,(Id10207) Did (s)he have a severe headache?,eq,yes,
HEART_DIS,Was there any diagnosis of Heart disease,Id10133,(Id10133) Was there any diagnosis by a health professional of heart disease?,eq,yes,
HERPES,Did (s)he ever have shingles or herpes zoster?,Id10237,(Id10237) Did (s)he ever have shingles or herpes zoster?,eq,yes,
HIV_AIDS,Was there any diagnosis of HIV/AIDS,Id10126,(Id10126) Was an HIV test ever positive?,eq,yes,
HIV_AIDS,Was there any diagnosis of HIV/AIDS,Id10127,(Id10127) Was there any diagnosis by a health professional of AIDS?,eq,yes,
HYPERT,Was there any diagnosis of High Blood pressure,Id10132,(Id10132) Was there any diagnosis by a health professional of high blood pressure?,eq,yes,
HYSTER,Did she have an operation to remove her uterus shortly before death?,Id10340,(Id10340) Did she have an operation to remove her uterus shortly before death?,eq,yes,
INFANT,Was (s)he aged 1 to 11 months at death?,ageInMonths,Calculated field: int(${ageInYearsRemain} div 30.4),between,1 to 11,
INFLICT,Was the injury intentionally inflicted by someone else?,Id10100,(Id10100) Was the injury intentionally inflicted by someone else?,eq,yes,
INJURY,Did (s)he suffer from any injury or accident that led to her/his death?,Id10077,(Id10077) Did (s)he suffer from any injury or accident that led to her/his death?,eq,yes,
KIDNEY_DIS,Was there any diagnosis of Kidney disease,Id10143,(Id10143) Was there any diagnosis by a health professional of kidney disease?,eq,yes,
LAB_24,Was she in labour for unusually long (more than 24 hours)?,Id10332,(Id10332) For how many hours was she in labour?,gt,24,
LIVER_DIS,Was there any diagnosis of Liver disease,Id10144,(Id10144) Was there any diagnosis by a health professional of liver disease?,eq,yes,
LYING_BR,Was (s)he breathless while lying flat?,Id10171,(Id10171) Was (s)he breathless while lying flat?,eq,yes,
MAGEGP1,Was this a woman aged 12 to 19 years at death?,ageInYears,Calculated field: int(${ageInDays} div 365.25),between,12 to 19,FEMALE
MAGEGP2,Was this a woman aged 20-34 years at death?,ageInYears,Calculated field: int(${ageInDays} div 365.25),between,20 to 34,FEMALE
MAGEGP3,Was this a woman aged 35-49 years at death?,ageInYears,Calculated field: int(${ageInDays} div 365.25),between,35 to 49,FEMALE
MALARIA,Did (s)he have a recent positive test for malaria?,Id10128,(Id10128) Did (s)he have a recent positive test by a health professional for malaria?,eq,yes,
MALARNEG,Did (s)he have a recent negative test for malaria?,Id10129,(Id10129) Did (s)he have a recent negative test by a health professional for malaria?,eq,yes,
MALE,Was the deceased male?,Id10019,(Id10019) What was the sex of the deceased?,eq,male,
MARRIED,Was she married at the time of death?,Id10059,(Id10059) What was her/his marital status?,eq,married,
MEASLES,Was there any diagnosis of Measles,Id10131,(Id10131) Was there any diagnosis by a health professional of measles?,eq,yes,
MEASRASH,Did (s)he have measles rash?,Id10236,(Id10236) Did (s)he have measles rash (use local term)?,eq,yes,
MEN_CON,Did (s)he have mental confusion?,Id10212,(Id10212) Did (s)he have mental confusion?,eq,yes,
MENCON3,Did (s)he have mental confusion for 3 months or more?,Id10213,(Id10213) For how many months did (s)he have mental confusion?,ge,3,
MIDAGE,Was (s)he aged 50 to 64 years at death?,age_adult,[Enter adult's age in years:],between,50 to 64,
MIDAGE,Was (s)he aged 50 to 64 years at death?,ageInYears,Calculated field: int(${ageInDays} div 365.25),between,50 to 64,
MLF_BK,Did the baby/the child have a swelling/defect on the back?,Id10371,(Id10371) Did the baby/ child have a swelling or defect on the back at time of birth?,eq,yes,
MLF_LH,Did the baby/the child have a very large head?,Id10372,(Id10372) Did the baby/ child have a very large head at time of birth?,eq,yes,
MLF_SH,Did the baby/the child have a very small head?,Id10373,(Id10373) Did the baby/ child have a very small head at time of birth?,eq,yes,
MON_EARLY,Was the baby born more than one month early?,Id10347,(Id10347) Was the baby born more than one month early?,eq,yes,
MORE4,"Did she have four or more births, including stillbirths, before this pregnancy?",Id10319,"(Id10319) How many births, including stillbirths, did she/the mother have before this baby?",ge,4,
MOVE_LB,Did the baby stop moving in the womb before labour started?,Id10377,(Id10377) Did the baby stop moving in the womb before labour started?,eq,yes,
MTTV,Did the mother receive tetanus toxoid (TT) vaccine?,Id10393,(Id10393) Did you/the mother receive tetanus toxoid (TT) vaccine?,eq,yes,
MULTIP,Did she die during or after a multiple pregnancy?,Id10317,(Id10317) Did she die during or after a multiple pregnancy?,eq,yes,
MUSHY,"Was the baby born macerated, that is, showed signs of decay?",Id10116,"(Id10116) Was the baby’s body soft, pulpy and discoloured and the skin peeling away?",eq,yes,
NEONATE,Was (s)he aged 28 days or less at death?,ageInDays,Calculated field: (${Id10023} - ${Id10021}),le,28,
NIGHT_SW,Did (s)he have night sweats?,Id10152,(Id10152) Did (s)he have night sweats?,eq,yes,
NO_LIFE,"If the baby did not cry or breathe, was it born dead?",Id10114,"(Id10114) If the baby didn't show any sign of life, was it born dead?",eq,yes,
NOT_PREG,"Was she neither pregnant, nor delivered, within 6 weeks of her death?",Id10305,(Id10305) Was she pregnant at the time of death?,eq,no,
NOT_PREG,"Was she neither pregnant, nor delivered, within 6 weeks of her death?",Id10306,"(Id10306) Did she die within 6 weeks of delivery, abortion or miscarriage?",eq,no,
NOT_PREG,"Was she neither pregnant, nor delivered, within 6 weeks of her death?",Id10310,"(Id10310) Please confirm, when she died, she was NEITHER pregnant NOR had delivered, had an abortion, or miscarried within 12 months of when she died--is that right?",eq,yes,
O_TRANS,Was (s)he Injured in a non?road transport accident?,Id10082,(Id10082) Was (s)he injured in a non-road transport accident?,eq,yes,
OR_CAND,Did (s)he have mouth sores or white patches in the mouth or on the tongue?,Id10245,"(Id10245) During the illness that led to death, did s/he have a whitish rash inside the mouth or on the tongue?",eq,yes,
P_BLEED,Was there excessive vaginal bleeding after delivering the baby?,Id10329,(Id10329) Did she have excessive bleeding after delivery or abortion?,eq,yes,
PARAL_ONE,Did (s)he have paralysis of one side of the body?,Id10259,(Id10259) Did (s)he have paralysis of only one side of the body?,eq,yes,
PE_DIARR,Did (s)he have diarrhea for 2 to 4 weeks?,Id10182,(Id10182) For how many days did (s)he have frequent loose or liquid stools?,between,14 to 28,
PEND_6W,Did she die 6 weeks within a pregnancy that lasted less than 6 months?,Id10309,(Id10309) For how many months was she pregnant?,between,0 to 6,DEL_6WKS
PLACENT_R,Was the placenta not completely delivered?,Id10330,(Id10330) Was the placenta completely delivered?,eq,no,
POISON,Was there any poisoning?,Id10084,(Id10084) Was there any poisoning?,eq,yes,
PR_COUGH,Was the cough productive with sputum?,Id10155,"(Id10155) Was the cough productive, with sputum?",eq,yes,
PREGNANT,Was she pregnant at the time of death?,Id10305,(Id10305) Was she pregnant at the time of death?,eq,yes,
PROF_ASS,Did she receive professional assistance during the delivery?,Id10338,(Id10338) Did she receive professional assistance during the delivery?,eq,yes,
RAPID_BR,Did (s)he have fast breathing?,Id10166,"(Id10166) During the illness that led to death, did (s)he have fast breathing?",eq,yes,
RASH,"During the illness that led to death, did (s)he have any skin rash?",Id10233,"(Id10233) During the illness that led to death, did (s)he have any skin rash?",eq,yes,
RASH,"During the illness that led to death, did (s)he have any skin rash?",Id10478,(Id10478) [Select any of the following words that were mentioned as present in the narrative.],contains,rash,
RIGIDITY,Did (s)he have stiffness of the whole body or was unable to open the mouth?,Id10246,(Id10246) Did (s)he have stiffness of the whole body or was unable to open the mouth?,eq,yes,
S_BLEED,Was there vaginal bleeding during the last 3 months of pregnancy but before labour started?,Id10327,(Id10327) Was there vaginal bleeding during the last 3 months of pregnancy but before labour started?,eq,yes,
SADMIT,Were there any problems during admission to the hospital or health facility?,Id10452,(Id10452) Were there any problems during admission to the hospital or health facility?,eq,yes,
SCOSTS,"Over the course of illness, did the total costs of care and treatment prohibit other household payments?",Id10459,"(Id10459) Over the course of illness, did the total costs of care and treatment prohibit other household payments?",eq,yes,
SDOUBT,"In the final days before death, were there any doubts about whether medical care was needed?",Id10456,"(Id10456) In the final days before death, were there any doubts about whether medical care was needed?",eq,yes,
SHOSPF,"In the final days before death, did (s)he travel to a hospital or health facility?",Id10450,"(Id10450) In the final days before death, did s/he travel to a hospital or health facility?",eq,yes,
SICKLE,Was there any diagnosis of Sickle cell disease,Id10142,(Id10142) Was there any diagnosis by a health professional of sickle cell disease?,eq,yes,
SK_FEET,"Did (s)he have any , ulcers, abscess or sores on the feet that were not also on other parts of the body?",Id10230,(Id10230) Did (s)he have an ulcer (pit) on the foot?,eq,yes,
SKIN,Did (s)he have any skin problems?,Id10227,(Id10227) Did (s)he have sores or ulcers anywhere on the body?,eq,yes,
