New Column Name,New Column Documentation,Source Column ID,Source Column Documentation,Relationship,Condition,Prerequisite,Meta: Notes
i114o, Did (s)he suffer from any injury or accident that led to her/his death? injury,Id10077,(Id10077) Did (s)he suffer from any injury or accident that led to her/his death?,eq,yes,,
i115o, Was (s)he injured in a road traffic accident? inj rta,Id10079,(Id10079) Was it a road traffic accident?,eq,yes,,
i116o, Was (s)he injured in a non-road transport accident? inj nrta,Id10082,(Id10082) Was (s)he injured in a non-road transport accident?,eq,yes,,
i125o, Was (s)he injured in a fall? inj fall,Id10083,(Id10083) Was (s)he injured in a fall?,eq,yes,,
i126o, Was (s)he poisoned in any way? inj poison,Id10084,(Id10084) Was there any poisoning?,eq,yes,,
i127o, Did (s)he die of drowning? inj drown,Id10085,(Id10085) Did (s)he die of drowning?,eq,yes,,
i128o, Was (s)he injured by the bite or sting of a venomous animal? inj venom,Id10086,(Id10086) Was (s)he injured by a bite or sting by venomous animal?,eq,yes,,
i129o, Was (s)he injured by an animal or insect (non-venomous) inj anim,Id10087,(Id10087) Was (s)he injured by an animal or insect (non-venomous)?,eq,yes,,
i482o, Was (s)he injured by burns or fire? inj burn,Id10089,(Id10089) Was (s)he injured by burns/fire?,eq,yes,,
i483o," Was (s)he subject to violence (suicide, homicide, abuse)? inj viol",Id10090,"(Id10090) Was (s)he subject to violence (suicide, homicide, abuse)?",eq,yes,,
i130o, Was (s)he injured by a fire arm? inj gun,Id10091,(Id10091) Was (s)he injured by a firearm?,eq,yes,,
i131o," Was (s)he stabbed, cut or pierced? inj stab",Id10092,"(Id10092) Was (s)he stabbed, cut or pierced?",eq,yes,,
i132o, Was (s)he strangled? inj strng,Id10093,(Id10093) Was (s)he strangled?,eq,yes,,
i133o, Was (s)he injured by a blunt force? inj blfor,Id10094,(Id10094) Was (s)he injured by a blunt force?,eq,yes,,
i134o, Was (s)he injured by a force of nature? inj nature,Id10095,(Id10095) Was (s)he injured by a force of nature?,eq,yes,,
i135o, Was (s)he electrocuted? inj elec,Id10096,(Id10096) Was it electrocution?,eq,yes,,
i136o, Was the injury accidental? inj accid,Id10098,(Id10098) Was the injury accidental?,eq,yes,,
i137o, Was the injury or accident self-inflicted? inj suic,Id10099,(Id10099) Was the injury self-inflicted?,eq,yes,,
i138o, Was the injury or accident intentionally inflicted by someone else? inj int,Id10100,(Id10100) Was the injury intentionally inflicted by someone else?,eq,yes,,
i139o, Did the baby ever cry? ever cry,Id10104,(Id10104) Did the baby ever cry?,eq,yes,,
i140o," Did the baby cry immediately after birth, even if only a little bit? cry little",Id10105,"(Id10105) Did the baby cry immediately after birth, even if only a little bit?",eq,yes,,
i141o, Was it more than 5 minutes after birth before the baby first cried? cry 5+m,Id10106,(Id10106) How many minutes after birth did the baby first cry?,gt,5,,
i142o, Did the baby stop being able to cry? cry stop,Id10107,(Id10107) Did the baby stop being able to cry?,eq,yes,,
i143o, Did the baby stop crying more than a day before (s)he died? cry st 1+d,Id10108,(Id10108) How many hours before death did the baby stop crying?,gt,24,,
i144o, Did the baby ever move? ever move,Id10109,(Id10109) Did the baby ever move?,eq,yes,,
i077o, Did the baby ever breathe? ever breathe,Id10110,(Id10110) Did the baby ever breathe?,eq,yes,,
i077a," Did the baby breathe immediately after birth, even a little? brth littlesource['a'] = source.filter(regex='Id3D300')",Id10111,"(Id10111) Did the baby breathe immediately after birth, even a little?",eq,yes,,
i079o, Did the baby have a breathing problem? brth prob,Id10112,(Id10112) Did the baby have a breathing problem?,eq,yes,,
i082o, Was the baby given assistance to breathe at birth? brth assis,Id10113,(Id10113) Was the baby given assistance to breathe at birth?,eq,yes,,
i083o," If the baby didn't show any sign of life, was it born dead? born dead",Id10114,"(Id10114) If the baby didn't show any sign of life, was it born dead?",eq,yes,,
i084o, Were there any bruises or signs of injury on child's body after the birth? bruised,Id10115,(Id10115) Were there any bruises or signs of injury on baby's body after the birth?,eq,yes,,
i085o," Was the baby's body soft, pulpy and discoloured with the skin peeling away? macerated",Id10116,"(Id10116) Was the baby’s body soft, pulpy and discoloured and the skin peeling away?",eq,yes,,
i086o, Did the final illness last less than 3 weeks? ill <3w. HERE -- check for multiple entries?,Id10120,"(Id10120) Calculated number of Days with illness Calculated as: if(selected(${isNeonatal}, '1'),${Id10120_0}, if(${id10120_unit}='days', ${Id10120_1},if(${id10120_unit}='months', ${Id10121} * 30, ${Id10122} * 365)))",lt,21,,
i087o, Did the final illness last at least 3 weeks? ill 3+w,Id10120,"(Id10120) Calculated number of Days with illness Calculated as: if(selected(${isNeonatal}, '1'),${Id10120_0}, if(${id10120_unit}='days', ${Id10120_1},if(${id10120_unit}='months', ${Id10121} * 30, ${Id10122} * 365)))",ge,21,,
i088a, Did (s)he die suddenly? sudden,Id10123,(Id10123) Did (s)he die suddenly?,eq,yes,,
i088b, Was there any diagnosis by a health professional of tuberculosis? dia tb,Id10125,(Id10125) Was there any diagnosis by a health professional of tuberculosis?,eq,yes,,
i088c, Was there any diagnosis by a health professional of HIV/AIDS? dia HIV,Id10127,(Id10127) Was there any diagnosis by a health professional of AIDS?,eq,yes,,
i088d, Did (s)he have a recent positive test by a health professional for malaria? dia mal+,Id10128,(Id10128) Did (s)he have a recent positive test by a health professional for malaria?,eq,yes,,
i089o, Did (s)he have a recent negative test by a health professional for malaria? dia mal-,Id10129,(Id10129) Did (s)he have a recent negative test by a health professional for malaria?,eq,yes,,
i091o, Was there any diagnosis by a health professional of dengue fever? dia deng,Id10130,(Id10130) Was there any diagnosis by a health professional of dengue fever?,eq,yes,,
i092o, Was there any diagnosis by a health professional of measles? dia meas,Id10131,(Id10131) Was there any diagnosis by a health professional of measles?,eq,yes,,
i093o, Was there any diagnosis by a health professional of high blood pressure? dia hypt,Id10132,(Id10132) Was there any diagnosis by a health professional of high blood pressure?,eq,yes,,
i096o, Was there any diagnosis by a health professional of heart disease? dia cvd,Id10133,(Id10133) Was there any diagnosis by a health professional of heart disease?,eq,yes,,
i094o, Was there any diagnosis by a health professional of diabetes? dia diab,Id10134,(Id10134) Was there any diagnosis by a health professional of diabetes?,eq,yes,,
i095o, Was there any diagnosis by a health professional of asthma? dia asth,Id10135,(Id10135) Was there any diagnosis by a health professional of asthma?,eq,yes,,
i098o, Was there any diagnosis by a health professional of epilepsy? dia epil,Id10136,(Id10136) Was there any diagnosis by a health professional of epilepsy?,eq,yes,,
i099o, Was there any diagnosis by a health professional of cancer? dia canc,Id10137,(Id10137) Was there any diagnosis by a health professional of cancer?,eq,yes,,
i100o, Was there any diagnosis by a health professional of Chronic Obstructive Pulmonary Disease (COPD)? dia copd,Id10138,(Id10138) Was there any diagnosis by a health professional of Chronic Obstructive Pulmonary Disease (COPD)?,eq,yes,,
i351a, Was there any diagnosis by a physician or health worker of dementia? dia demt,Id10139,(Id10139) Was there any diagnosis by a health professional of dementia?,eq,yes,,
i351b, Was there any diagnosis by a health professional of depression? dia depr,Id10140,(Id10140) Was there any diagnosis by a health professional of depression?,eq,yes,,
i408o, Was there any diagnosis by a health professional of stroke? dia strk,Id10141,(Id10141) Was there any diagnosis by a health professional of stroke?,eq,yes,,
i120a, Was there any diagnosis by a health professional of sickle cell disease? dia scd,Id10142,(Id10142) Was there any diagnosis by a health professional of sickle cell disease?,eq,yes,,
i120b, Was there any diagnosis by a health professional of kidney disease? dia kidn,Id10143,(Id10143) Was there any diagnosis by a health professional of kidney disease?,eq,yes,,
i123o, Was there any diagnosis by a health professional of liver disease? dia liver,Id10144,(Id10144) Was there any diagnosis by a health professional of liver disease?,eq,yes,,
i147o," During the illness that led to death, did (s)he have a fever? fever",Id10147,(Id10147) Did (s)he have a fever?,eq,yes,i147o,
i148a, Did the fever last less than a week before death? fev <1w,Id10148,"(Id10148) How many days did the fever last? Calculated as: if(selected(${isNeonatal}, '1'), ${Id10148_a},if(${Id10148_units}='days', ${Id10148_b},int(${Id10148_c} * 30)))",lt,7,i147o,
i148b," Did the fever last at least one week, but less than 2 weeks before death? fev 1-2w",Id10148,"(Id10148) How many days did the fever last? Calculated as: if(selected(${isNeonatal}, '1'), ${Id10148_a},if(${Id10148_units}='days', ${Id10148_b},int(${Id10148_c} * 30)))",between,7 to 14,i147o,
i149o, Did the fever last at least 2 weeks before death? fev 2+w,Id10148,"(Id10148) How many days did the fever last? Calculated as: if(selected(${isNeonatal}, '1'), ${Id10148_a},if(${Id10148_units}='days', ${Id10148_b},int(${Id10148_c} * 30)))",ge,14,i147o,
i150a, Did the fever continue until death? fev death,Id10149,(Id10149) Did the fever continue until death?,eq,yes,i147o,
i151a, Was the fever severe? fev sev,Id10150,(Id10150) How severe was the fever?,eq,severe,i147o,
i151b, Was the fever continuous? fev cont,Id10151,(Id10151) What was the pattern of the fever?,eq,continuous,,
i153o, Did (s)he have night sweats? fev nsw,Id10152,(Id10152) Did (s)he have night sweats?,eq,yes,,
i154a," During the illness that led to death, did (s)he have a cough? cough",Id10153,(Id10153) Did (s)he have a cough?,eq,yes,i153o,
i154b, Did the cough last less than 3 weeks before death? cou <3w,Id10154,"(Id10154) For how many days did (s)he have a cough? Calculated as: if(${Id10154_units}='days', ${Id10154_a},int(${Id10154_b} * 30))",lt,21,i153o,
i155o, Did the cough last at least 3 weeks before death? cou 3+w,Id10154,"(Id10154) For how many days did (s)he have a cough? Calculated as: if(${Id10154_units}='days', ${Id10154_a},int(${Id10154_b} * 30))",ge,21,,
i156o," Was the cough productive, with sputum? cou prod",Id10155,"(Id10155) Was the cough productive, with sputum?",eq,yes,,
i157o, Was the cough very severe? cou sev,Id10156,(Id10156) Was the cough very severe?,eq,yes,,
i158o, Did (s)he cough up blood? cou bld,Id10157,(Id10157) Did (s)he cough up blood?,eq,yes,,
i159o, Did (s)he make a whooping sound when coughing? cou whoop,Id10158,(Id10158) Did (s)he make a whooping sound when coughing?,eq,yes,,
i161a," During the illness that led to death, did (s)he have any difficulty breathing? dif br",Id10159,(Id10159) Did (s)he have any difficulty breathing?,eq,yes,,
i161b, Did the difficult breathing last for at least 3 days before death? dif br 3d,Id10161,"(Id10161) Calculated number of Days with illness Calculated as: if(selected(${isNeonatal}, '1'),${Id10161_0}, if(${id10161_unit}='days', ${Id10161_1},if(${id10161_unit}='months', ${Id10162} * 30, ${Id10163} * 365)))",ge,3,,
i161c, Was the difficult breathing continuous during this period? dif br con,Id10165,(Id10165) Was the difficulty continuous or on and off?,eq,continuous,,
i165a, Did (s)he have fast breathing? br fast,Id10166,"(Id10166) During the illness that led to death, did (s)he have fast breathing?",eq,yes,,
i170o, Did the fast breathing last for less than two weeks before death? br fs <2w,Id10167,"(Id10167) How long did the fast breathing last? Calculated as: if(selected(${isNeonatal}, '1'), ${Id10167_a},if(${Id10167_units}='days', ${Id10167_b},${Id10167_c} * 30))",lt,14,,
i171o, Did the fast breathing last for at least 2 weeks before death? br fs 2+w,Id10167,"(Id10167) How long did the fast breathing last? Calculated as: if(selected(${isNeonatal}, '1'), ${Id10167_a},if(${Id10167_units}='days', ${Id10167_b},${Id10167_c} * 30))",ge,14,,
i166o, Did (s)he have breathlessness? brless,Id10168,(Id10168) Did (s)he have breathlessness?,eq,yes,,
i167a, Did the breathlessness last for less than 2 weeks before death? brl <2w,Id10169,"(Id10169) How long did (s)he have breathlessness? Calculated as: if(selected(${isNeonatal}, '1'), ${Id10169_a},if(${Id10169_units}='days', ${Id10169_b},${Id10169_c} * 30))",lt,14,,
i167b, Did the breathlessness last for at least 2 weeks before death? brl 2+w,Id10169,"(Id10169) How long did (s)he have breathlessness? Calculated as: if(selected(${isNeonatal}, '1'), ${Id10169_a},if(${Id10169_units}='days', ${Id10169_b},${Id10169_c} * 30))",ge,14,,
i167c, Was (s)he unable to carry out daily routines due to breathlessness? brl unab,Id10170,(Id10170) Was (s)he unable to carry out daily routines due to breathlessness?,eq,yes,,
i172o, Was (s)he breathless while lying flat? brl flat,Id10171,(Id10171) Was (s)he breathless while lying flat?,eq,yes,,
i173a, Did you see the lower chest wall/ribs being pulled in as the child breathed? indraw,Id10172,(Id10172) Did you see the lower chest wall/ribs being pulled in as the child breathed in?,eq,yes,,
i173b, Did his/her breathing sound like wheezing or grunting? whz grun,Id10173,"(Id10173) During the illness that led to death did his/her breathing sound like any of the following: Calculated as: if(selected(${isAdult}, '1'),${Id10173_a} ,${Id10173_nc})",eq,wheezing,,
i173c, Did his/her breathing sound like wheezing or grunting? whz grun,Id10173,"(Id10173) During the illness that led to death did his/her breathing sound like any of the following: Calculated as: if(selected(${isAdult}, '1'),${Id10173_a} ,${Id10173_nc})",eq,stridor,,
i174o, Did his/her breathing sound like wheezing or grunting? whz grun,Id10173,"(Id10173) During the illness that led to death did his/her breathing sound like any of the following: Calculated as: if(selected(${isAdult}, '1'),${Id10173_a} ,${Id10173_nc})",eq,grunting,,
i175o," During the illness that led to death, did (s)he have chest pain? ch pain",Id10174,(Id10174) Did (s)he have chest pain?,eq,yes,,
i176a, Was the chest pain severe? chp sev,Id10175,(Id10175) Was the chest pain severe?,eq,yes,,
i176b, Did (s)he experience chest pain at least 3 days before death? chp 3d,Id10176,(Id10176) How many days before death did (s)he have chest pain?,ge,3,,
i176c, Did the chest pain last for at least 30 minutes? chp 30m,Id10178,(Id10178) [Enter how long the chest pain lasted in minutes]:,ge,30,,
i178a, Did the chest pain last for at least 30 minutes? chp 30m,Id10179,(Id10179) [Enter how long the chest pain lasted in hours]:,gt,0,,
i178b, Did the chest pain last for at least 30 minutes? chp 30m,Id10179_1,(Id10179_1) [Enter how long the chest pain lasted in days]:,gt,0,,
i181o, Did (s)he have diarrhoea? diarr,Id10181,(Id10181) Did (s)he have more frequent loose or liquid stools than usual?,eq,yes,,
i182a, Did (s)he have diarrhoea for less than 2 weeks before death? drr <2w,Id10182,"(Id10182) For how many days did (s)he have frequent loose or liquid stools? Calculated as: if(${Id10182_units}='days', ${Id10182_a},${Id10182_b} * 30)",lt,14,,
i182b, Did (s)he have diarrhoea for at least 2 weeks but less than 4 weeks before death? drr 2-4w,Id10182,"(Id10182) For how many days did (s)he have frequent loose or liquid stools? Calculated as: if(${Id10182_units}='days', ${Id10182_a},${Id10182_b} * 30)",between,14 to 28,,
i183a, Did (s)he have diarrhoea for at least 4 weeks before death? drr 4+w,Id10182,"(Id10182) For how many days did (s)he have frequent loose or liquid stools? Calculated as: if(${Id10182_units}='days', ${Id10182_a},${Id10182_b} * 30)",ge,28,,
i184a, Did the baby or child have at least 4 stools on the day that loose liquid stools were most frequent? 4+ stls,Id10183,(Id10183) How many stools did the baby or child have on the day that loose liquid stools were most frequent?,ge,4,,
i184b, Did the frequent loose or liquid stools start at least 3 days before death? drr 3d,Id10184_b,(Id10184_b) [Enter how long before death the frequent loose or liquid stools started in days],ge,3,,
i184c, Did the frequent loose or liquid stools start at least 3 days before death? drr 3d,Id10184_c,(Id10184_c) [Enter how long before death the frequent loose or liquid stools started in months],gt,0,,
i184d, Did the frequent loose or liquid stools continue up until death? drr to d,Id10185,(Id10185) Did the frequent loose or liquid stools continue until death?,eq,yes,,
i185o, At any time during the final illness was there blood in the stools? drr bld,Id10186,(Id10186) At any time during the final illness was there blood in the stools?,eq,yes,,
i186o, Was there blood in the stool up until death? dr bld d,Id10187,(Id10187) Was there blood in the stool up until death?,eq,yes,,
i188o," During the illness that led to death, did (s)he vomit? vomit",Id10188,(Id10188) Did (s)he vomit?,eq,yes,,
i190a, Did (s)he vomit in the week preceding the death? vom bd,Id10189,(Id10189) To clarify: Did (s)he vomit in the week preceding the death?,eq,yes,,
i190b, Did (s)he vomit for at least 3 days before death? vom 3d,Id10190_a,(Id10190_a) [Enter how long before death(s)he vomited in days],ge,3,,
i190c, Did (s)he vomit for at least 3 days before death? vom 3d,Id10190_b,(Id10190_a) [Enter how long before death(s)he vomited in days],ge,1,,
i190d, Was there blood in the vomit? vom bld,Id10191,(Id10191) Was there blood in the vomit?,eq,yes,,
i189o, Was the vomit black? vom blck,Id10192,(Id10192) Was the vomit black?,eq,yes,,
i189a," During the illness that led to death, did (s)he have any abdominal (belly) problem? abdom",Id10193,(Id10193) Did (s)he have any belly (abdominal) problem?,eq,yes,,
i191o, Did (s)he have abdominal pain? abd pain,Id10194,(Id10194) Did (s)he have belly (abdominal) pain?,eq,yes,,
i192o, Was the abdominal pain severe? abd p sev,Id10195,(Id10195) Was the belly (abdominal) pain severe?,eq,yes,i195o,
i194o, Did (s)he have severe abdominal pain for less than 2 weeks before death? abd p <2w,Id10197,(Id10197) Calculated number of Days with belly pain,lt,14,i195o,
i195o, Did (s)he have severe abdominal pain for at least 2 weeks before death? abd p 2+w,Id10197,(Id10197) Calculated number of Days with belly pain,ge,14,i195o,
i197a, Did (s)he have severe abdominal pain for at least 2 weeks before death? abd p 2+w,Id10198,(Id10198) Calculated number of Months with belly pain,gt,0,,
i199a, Was the pain in the upper abdomen? abd p up,Id10199,(Id10199) Was the pain in the upper or lower belly (abdomen)?,eq,upper_lower_abdomen,,
i199b, Was the pain in the upper abdomen? abd p up,Id10199,(Id10199) Was the pain in the upper or lower belly (abdomen)?,eq,upper_abdomen,,
i199c, Was the pain in the lower abdomen? abd p lo,Id10199,(Id10199) Was the pain in the upper or lower belly (abdomen)?,eq,lower_abdomen,,
i199d, Was the pain in the lower abdomen? abd p lo,Id10199,(Id10199) Was the pain in the upper or lower belly (abdomen)?,eq,upper_lower_abdomen,,
i200o, Did (s)he have a more than usually protruding abdomen? abd prot,Id10200,(Id10200) Did (s)he have a more than usually protruding belly (abdomen)?,eq,yes,i200o,
i201a, Did (s)he have a more than usually protruding abdomen for less than 2 weeks before death? abd pr <2w,Id10201,(Id10201) Calculated number of Days with protruding belly (abdomen),lt,14,i200o,
i203a, Did (s)he have a more than usually protruding abdomen for at least 2 weeks before death? abd pr 2+w,Id10201,(Id10201) Calculated number of Days with protruding belly (abdomen),ge,14,,
i204o, Did (s)he develop the protruding abdomen rapidly? abd pr rap,Id10203,(Id10203) How rapidly did (s)he develop the protruding belly (abdomen)?,eq,rapidly,,
i205a, Did (s)he have any mass in the abdomen? abd mass,Id10204,(Id10204) Did (s)he have any mass in the belly (abdomen)?,eq,yes,i204o,
i207o, Did (s)he have a mass in the abdomen for less than 2 weeks before death? ab ms <2w,Id10205,(Id10205) Calculated number of Days with a mass in the belly (abdomen),lt,14,i204o,
i208o, Did (s)he have a mass in the abdomen for at least 2 weeks before death? ab ms 2+w,Id10205,(Id10205) Calculated number of Days with a mass in the belly (abdomen),ge,14,,
i209a," During the illness that led to death, did (s)he have a severe headache? headache",Id10207,(Id10207) Did (s)he have a severe headache?,eq,yes,,
i212o," During the illness that led to death, did (s)he have a stiff neck? st neck",Id10208,(Id10208) Did (s)he have a stiff neck during illness that led to death?,eq,yes,i208o,
i213o, Did (s)he have a stiff neck for less than one week before death? st n <1w,Id10209_a,(Id10209) For how many days before death did (s)he have stiff neck?,lt,7,i208o,
i214o, Did (s)he have a stiff neck for at least one week before death? st n 1+w,Id10209_a,(Id10209) For how many days before death did (s)he have stiff neck?,ge,7,i208o,
i216a, Did (s)he have a stiff neck for at least one week before death? st n 1+w,Id10209_b,(Id10209) For how many months before death did (s)he have stiff neck?,gt,0,,
i217o," During the illness that led to death, did (s)he have a painful neck? pain neck",Id10210,(Id10210) Did (s)he have a painful neck during the illness that led to death?,eq,yes,i210o,
i220o, Did (s)he have a painful neck for at least one week before death? pa n 1+w,Id10211_a,(Id10211) For how many days before death did (s)he have a painful neck?,ge,7,i210o,
i222o, Did (s)he have a painful neck for at least one week before death? pa n 1+w,Id10211_b,(Id10211) For how many months before death did (s)he have a painful neck?,gt,0,,
i275o," During the illness that led to death, did (s)he have mental confusion?ment conf",Id10212,(Id10212) Did (s)he have mental confusion?,eq,yes,i212o,
i276o, Did (s)he have mental confusion for at least 3 months before death?menc 3+m,Id10213,"(Id10213) For how many months did (s)he have mental confusion? Calculated as: if(${Id10213_units}='days', ${Id10213_a} div 30,${Id10213_b})",ge,3,,
i223o," During the illness that led to death, was (s)he unconscious?uncons",Id10214,(Id10214) Was (s)he unconscious during the illness that led to death?,eq,yes,i214o,
i226o, Was (s)he unconscious for at least 24 hours before death?unc 24+h,Id10215,(Id10215) Was (s)he unconscious for more than 24 hours before death?,eq,yes,i214o,
i224o, Was (s)he unsconscious for at least 6 hours before death?unc 6+h,Id10216,"(Id10216) How many hours before death did unconsciousness start? Calculated as: if(${Id10216_units}='days', ${Id10216_b} * 24,${Id10216_a})",ge,6,,
i230o," Did the unconsciousness start suddenly, quickly (at least within a single day)?unc sudd",Id10217,"(Id10217) Did the unconsciousness start suddenly, quickly (at least within a single day)?",eq,yes,,
i231o, Did the unconsciousness continue until death?unc to d,Id10218,(Id10218) Did the unconsciousness continue until death?,eq,yes,,
i232a," During the illness that led to death, did (s)he have any convulsions?conv",Id10219,(Id10219) Did (s)he have convulsions?,eq,yes,,
i227o, Did (s)he experience any generalized convulsions or fits?conv gen,Id10220,(Id10220) Did (s)he experience any generalized convulsions or fits during the illness that led to death?,eq,yes,,
i229o, Did the convulsions last for less than 10 minutes?conv <10m,Id10221,(Id10221) For how many minutes did the convulsions last?,lt,10,,
i233o, Did the convulsions last for at least 10 minutes?conv 10+m,Id10221,(Id10221) For how many minutes did the convulsions last?,ge,10,,
i234a, Did (s)he become unconscious immediately after the convulsion?conv unc,Id10222,(Id10222) Did (s)he become unconscious immediately after the convulsion?,eq,yes,,
i235a," During the illness that led to death, did (s)he have any urine problems?urine",Id10223,(Id10223) Did (s)he have any urine problems?,eq,yes,,
i235b, Did (s)he stop urinating?uri none,Id10224,(Id10224) Did (s)he stop urinating?,eq,yes,,
i235c, Did (s)he go to urinate more often than usual?uri more,Id10225,(Id10225) Did (s)he go to urinate more often than usual?,eq,yes,,
i235d, Did (s)he pass blood in the urine?uri bld,Id10226,(Id10226) During the final illness did (s)he ever pass blood in the urine?,eq,yes,,
i236o," During the illness that led to death, did (s)he have any sores or ulcers anywhere?skin",Id10227,(Id10227) Did (s)he have sores or ulcers anywhere on the body?,eq,yes,,
i237o, Did (s)he have sores?sk sores,Id10228,(Id10228) Did (s)he have sores?,eq,yes,,
i238o, Did the sores have clear fluid and/or pus?sk s pus,Id10229,(Id10229) Did the sores have clear fluid or pus?,eq,yes,,
i239o, Did (s)he have an ulcer (pit) on the foot?sk ul ft,Id10230,(Id10230) Did (s)he have an ulcer (pit) on the foot?,eq,yes,,
i240o, Did any ulcer ooze pus?sk ul pus,Id10231,(Id10231) Did the ulcer on the foot ooze pus?,eq,yes,,
