New Column Name,New Column Documentation,Source Column ID,Source Column Documentation,Relationship,Condition,Prerequisite,Meta: Notes
i092o," Was (s)he stabbed, cut or pierced? inj stab",-Id10092,"(Id10092) Was (s)he stabbed, cut or pierced?",eq,yes,,
i093o, Was (s)he strangled? inj strng,-Id10093,(Id10093) Was (s)he strangled?,eq,yes,,
i094o, Was (s)he injured by a blunt force? inj blfor,-Id10094,(Id10094) Was (s)he injured by a blunt force?,eq,yes,,
i095o, Was (s)he injured by a force of nature? inj nature,-Id10095,(Id10095) Was (s)he injured by a force of nature?,eq,yes,,
i096o, Was (s)he electrocuted? inj elec,-Id10096,(Id10096) Was it electrocution?,eq,yes,,
i098o, Was the injury accidental? inj accid,-Id10098,(Id10098) Was the injury accidental?,eq,yes,,
i099o, Was the injury or accident self-inflicted? inj suic,-Id10099,(Id10099) Was the injury self-inflicted?,eq,yes,,
i100o, Was the injury or accident intentionally inflicted by someone else? inj int,-Id10100,(Id10100) Was the injury intentionally inflicted by someone else?,eq,yes,,
i104o, Did the baby ever cry? ever cry,-Id10104,(Id10104) Did the baby ever cry?,eq,yes,,
i105o," Did the baby cry immediately after birth, even if only a little bit? cry little",-Id10105,"(Id10105) Did the baby cry immediately after birth, even if only a little bit?",eq,yes,,
i106a, Was it more than 5 minutes after birth before the baby first cried? cry 5+m,-Id10106,(Id10106) How many minutes after birth did the baby first cry?,gt,5,,
i107o, Did the baby stop being able to cry? cry stop,-Id10107,(Id10107) Did the baby stop being able to cry?,eq,yes,,
i108a, Did the baby stop crying more than a day before (s)he died? cry st 1+d,-Id10108,(Id10108) How many hours before death did the baby stop crying?,gt,24,,
i109o, Did the baby ever move? ever move,-Id10109,(Id10109) Did the baby ever move?,eq,yes,,
i110o, Did the baby ever breathe? ever breathe,-Id10110,(Id10110) Did the baby ever breathe?,eq,yes,,
i111o," Did the baby breathe immediately after birth, even a little? brth littlesource['a'] = source.filter(regex='Id3D300')",-Id10111,"(Id10111) Did the baby breathe immediately after birth, even a little?",eq,yes,,
i112o, Did the baby have a breathing problem? brth prob,-Id10112,(Id10112) Did the baby have a breathing problem?,eq,yes,,
i113o, Was the baby given assistance to breathe at birth? brth assis,-Id10113,(Id10113) Was the baby given assistance to breathe at birth?,eq,yes,,
i114o," If the baby didn't show any sign of life, was it born dead? born dead",-Id10114,"(Id10114) If the baby didn't show any sign of life, was it born dead?",eq,yes,,
i115o, Were there any bruises or signs of injury on child's body after the birth? bruised,-Id10115,(Id10115) Were there any bruises or signs of injury on baby's body after the birth?,eq,yes,,
i116o," Was the baby's body soft, pulpy and discoloured with the skin peeling away? macerated",-Id10116,"(Id10116) Was the baby’s body soft, pulpy and discoloured and the skin peeling away?",eq,yes,,
i120a, Did the final illness last less than 3 weeks? ill <3w. HERE -- check for multiple entries?,-Id10120,"(Id10120) Calculated number of Days with illness Calculated as: if(selected(${isNeonatal}, '1'),${Id10120_0}, if(${id10120_unit}='days', ${Id10120_1},if(${id10120_unit}='months', ${Id10121} * 30, ${Id10122} * 365)))",lt,21,,
i120a, Did the final illness last less than 3 weeks? ill <3w. HERE -- check for multiple entries?,-Id10122,(Id10122) Years,ge,3,,
i120a, Did the final illness last less than 3 weeks? ill <3w. HERE -- check for multiple entries?,-Id10121,(Id10121) Months,lt,1,,
i120b, Did the final illness last at least 3 weeks? ill 3+w,-Id10120,"(Id10120) Calculated number of Days with illness Calculated as: if(selected(${isNeonatal}, '1'),${Id10120_0}, if(${id10120_unit}='days', ${Id10120_1},if(${id10120_unit}='months', ${Id10121} * 30, ${Id10122} * 365)))",ge,21,,
i120b, Did the final illness last at least 3 weeks? ill 3+w,-Id10121,(Id10121) Months,ge,1,,
i120b, Did the final illness last at least 3 weeks? ill 3+w,-Id10122,(Id10122) Years,ge,3,,
i123o, Did (s)he die suddenly? sudden,-Id10123,(Id10123) Did (s)he die suddenly?,eq,yes,,
i125o, Was there any diagnosis by a health professional of tuberculosis? dia tb,-Id10125,(Id10125) Was there any diagnosis by a health professional of tuberculosis?,eq,yes,,
i127o, Was there any diagnosis by a health professional of HIV/AIDS? dia HIV,-Id10127,(Id10127) Was there any diagnosis by a health professional of AIDS?,eq,yes,,
i128o, Did (s)he have a recent positive test by a health professional for malaria? dia mal+,-Id10128,(Id10128) Did (s)he have a recent positive test by a health professional for malaria?,eq,yes,,
i129o, Did (s)he have a recent negative test by a health professional for malaria? dia mal-,-Id10129,(Id10129) Did (s)he have a recent negative test by a health professional for malaria?,eq,yes,,
i130o, Was there any diagnosis by a health professional of dengue fever? dia deng,-Id10130,(Id10130) Was there any diagnosis by a health professional of dengue fever?,eq,yes,,
i131o,60 )Was there any diagnosis by a health professional of measles? dia meas,-Id10131,(Id10131) Was there any diagnosis by a health professional of measles?,eq,yes,,
i132o, Was there any diagnosis by a health professional of high blood pressure? dia hypt,-Id10132,(Id10132) Was there any diagnosis by a health professional of high blood pressure?,eq,yes,,
i133o, Was there any diagnosis by a health professional of heart disease? dia cvd,-Id10133,(Id10133) Was there any diagnosis by a health professional of heart disease?,eq,yes,,
i134o, Was there any diagnosis by a health professional of diabetes? dia diab,-Id10134,(Id10134) Was there any diagnosis by a health professional of diabetes?,eq,yes,,
i135o, Was there any diagnosis by a health professional of asthma? dia asth,-Id10135,(Id10135) Was there any diagnosis by a health professional of asthma?,eq,yes,,
i136o, Was there any diagnosis by a health professional of epilepsy? dia epil,-Id10136,(Id10136) Was there any diagnosis by a health professional of epilepsy?,eq,yes,,
i137o, Was there any diagnosis by a health professional of cancer? dia canc,-Id10137,(Id10137) Was there any diagnosis by a health professional of cancer?,eq,yes,,
i138o, Was there any diagnosis by a health professional of Chronic Obstructive Pulmonary Disease (COPD)? dia copd,-Id10138,(Id10138) Was there any diagnosis by a health professional of Chronic Obstructive Pulmonary Disease (COPD)?,eq,yes,,
i139o, Was there any diagnosis by a physician or health worker of dementia? dia demt,-Id10139,(Id10139) Was there any diagnosis by a health professional of dementia?,eq,yes,,
i140o, Was there any diagnosis by a health professional of depression? dia depr,-Id10140,(Id10140) Was there any diagnosis by a health professional of depression?,eq,yes,,
i141o, Was there any diagnosis by a health professional of stroke? dia strk,-Id10141,(Id10141) Was there any diagnosis by a health professional of stroke?,eq,yes,,
i142o, Was there any diagnosis by a health professional of sickle cell disease? dia scd,-Id10142,(Id10142) Was there any diagnosis by a health professional of sickle cell disease?,eq,yes,,
i143o, Was there any diagnosis by a health professional of kidney disease? dia kidn,-Id10143,(Id10143) Was there any diagnosis by a health professional of kidney disease?,eq,yes,,
i144o, Was there any diagnosis by a health professional of liver disease? dia liver,-Id10144,(Id10144) Was there any diagnosis by a health professional of liver disease?,eq,yes,,
i147o," During the illness that led to death, did (s)he have a fever? fever",-Id10147,(Id10147) Did (s)he have a fever?,eq,yes,,
i148a, Did the fever last less than a week before death? fev <1w,-Id10148,"(Id10148) How many days did the fever last? Calculated as: if(selected(${isNeonatal}, '1'), ${Id10148_a},if(${Id10148_units}='days', ${Id10148_b},int(${Id10148_c} * 30)))",lt,7,,
i148b," Did the fever last at least one week, but less than 2 weeks before death? fev 1-2w",-Id10148,"(Id10148) How many days did the fever last? Calculated as: if(selected(${isNeonatal}, '1'), ${Id10148_a},if(${Id10148_units}='days', ${Id10148_b},int(${Id10148_c} * 30)))",ge,7,,
i148c, Did the fever last at least 2 weeks before death? fev 2+w,-Id10148,"(Id10148) How many days did the fever last? Calculated as: if(selected(${isNeonatal}, '1'), ${Id10148_a},if(${Id10148_units}='days', ${Id10148_b},int(${Id10148_c} * 30)))",ge,14,,
i149o, Did the fever continue until death? fev death,-Id10149,(Id10149) Did the fever continue until death?,eq,yes,,
i150a, Was the fever severe? fev sev,-Id10150,(Id10150) How severe was the fever?,eq,severe,,
i151a, Was the fever continuous? fev cont,-Id10151,(Id10151) What was the pattern of the fever?,eq,continuous,,
i152o, Did (s)he have night sweats? fev nsw,-Id10152,(Id10152) Did (s)he have night sweats?,eq,yes,,
i153o," During the illness that led to death, did (s)he have a cough? cough",-Id10153,(Id10153) Did (s)he have a cough?,eq,yes,,
i154a, Did the cough last less than 3 weeks before death? cou <3w,-Id10154,"(Id10154) For how many days did (s)he have a cough? Calculated as: if(${Id10154_units}='days', ${Id10154_a},int(${Id10154_b} * 30))",lt,21,,
i154b, Did the cough last at least 3 weeks before death? cou 3+w,-Id10154,"(Id10154) For how many days did (s)he have a cough? Calculated as: if(${Id10154_units}='days', ${Id10154_a},int(${Id10154_b} * 30))",ge,21,,
i155o," Was the cough productive, with sputum? cou prod",-Id10155,"(Id10155) Was the cough productive, with sputum?",eq,yes,,
i156o, Was the cough very severe? cou sev,-Id10156,(Id10156) Was the cough very severe?,eq,yes,,
i157o, Did (s)he cough up blood? cou bld,-Id10157,(Id10157) Did (s)he cough up blood?,eq,yes,,
i158o, Did (s)he make a whooping sound when coughing? cou whoop,-Id10158,(Id10158) Did (s)he make a whooping sound when coughing?,eq,yes,,
i159o," During the illness that led to death, did (s)he have any difficulty breathing? dif br",-Id10159,(Id10159) Did (s)he have any difficulty breathing?,eq,yes,,
i161a, Did the difficult breathing last for at least 3 days before death? dif br 3d,-Id10161,"(Id10161) Calculated number of Days with illness Calculated as: if(selected(${isNeonatal}, '1'),${Id10161_0}, if(${id10161_unit}='days', ${Id10161_1},if(${id10161_unit}='months', ${Id10162} * 30, ${Id10163} * 365)))",ge,3,,
i165a, Was the difficult breathing continuous during this period? dif br con,-Id10165,(Id10165) Was the difficulty continuous or on and off?,eq,yes,,
i166o, Did (s)he have fast breathing? br fast,-Id10166,"(Id10166) During the illness that led to death, did (s)he have fast breathing?",eq,yes,,
i167a, Did the fast breathing last for less than two weeks before death? br fs <2w,-Id10167,"(Id10167) How long did the fast breathing last? Calculated as: if(selected(${isNeonatal}, '1'), ${Id10167_a},if(${Id10167_units}='days', ${Id10167_b},${Id10167_c} * 30))",lt,14,,
i167b, Did the fast breathing last for at least 2 weeks before death? br fs 2+w,-Id10167,"(Id10167) How long did the fast breathing last? Calculated as: if(selected(${isNeonatal}, '1'), ${Id10167_a},if(${Id10167_units}='days', ${Id10167_b},${Id10167_c} * 30))",ge,14,,
i168o, Did (s)he have breathlessness? brless,-Id10168,(Id10168) Did (s)he have breathlessness?,eq,yes,,
i169a, Did the breathlessness last for less than 2 weeks before death? brl <2w,-Id10169,"(Id10169) How long did (s)he have breathlessness? Calculated as: if(selected(${isNeonatal}, '1'), ${Id10169_a},if(${Id10169_units}='days', ${Id10169_b},${Id10169_c} * 30))",lt,14,,
i169b, Did the breathlessness last for at least 2 weeks before death? brl 2+w,-Id10169,"(Id10169) How long did (s)he have breathlessness? Calculated as: if(selected(${isNeonatal}, '1'), ${Id10169_a},if(${Id10169_units}='days', ${Id10169_b},${Id10169_c} * 30))",ge,14,,
i170o, Was (s)he unable to carry out daily routines due to breathlessness? brl unab,-Id10170,(Id10170) Was (s)he unable to carry out daily routines due to breathlessness?,eq,yes,,
i171o, Was (s)he breathless while lying flat? brl flat,-Id10171,(Id10171) Was (s)he breathless while lying flat?,eq,yes,,
i172o, Did you see the lower chest wall/ribs being pulled in as the child breathed? indraw,-Id10172,(Id10172) Did you see the lower chest wall/ribs being pulled in as the child breathed in?,eq,yes,,
i173a, Did his/her breathing sound like wheezing or grunting? whz grun,-Id10173,"(Id10173) During the illness that led to death did his/her breathing sound like any of the following: Calculated as: if(selected(${isAdult}, '1'),${Id10173_a} ,${Id10173_nc})",eq,wheezing,,
i173a, Did his/her breathing sound like wheezing or grunting? whz grun,-Id10173,"(Id10173) During the illness that led to death did his/her breathing sound like any of the following: Calculated as: if(selected(${isAdult}, '1'),${Id10173_a} ,${Id10173_nc})",eq,stridor,,
i173a, Did his/her breathing sound like wheezing or grunting? whz grun,-Id10173,"(Id10173) During the illness that led to death did his/her breathing sound like any of the following: Calculated as: if(selected(${isAdult}, '1'),${Id10173_a} ,${Id10173_nc})",eq,grunting,,
i174o," During the illness that led to death, did (s)he have chest pain? ch pain",-Id10174,(Id10174) Did (s)he have chest pain?,eq,yes,,
i175o, Was the chest pain severe? chp sev,-Id10175,(Id10175) Was the chest pain severe?,eq,yes,,
i176a, Did (s)he experience chest pain at least 3 days before death? chp 3d,-Id10176,(Id10176) How many days before death did (s)he have chest pain?,ge,3,,
i178a, Did the chest pain last for at least 30 minutes? chp 30m,-Id10178,(Id10178) [Enter how long the chest pain lasted in minutes]:,ge,30,,
i181o, Did (s)he have diarrhoea? diarr,-Id10181,(Id10181) Did (s)he have more frequent loose or liquid stools than usual?,eq,yes,,
i182a, Did (s)he have diarrhoea for less than 2 weeks before death? drr <2w,-Id10182,"(Id10182) For how many days did (s)he have frequent loose or liquid stools? Calculated as: if(${Id10182_units}='days', ${Id10182_a},${Id10182_b} * 30)",lt,14,,
i182b, Did (s)he have diarrhoea for at least 2 weeks but less than 4 weeks before death? drr 2-4w,-Id10182,"(Id10182) For how many days did (s)he have frequent loose or liquid stools? Calculated as: if(${Id10182_units}='days', ${Id10182_a},${Id10182_b} * 30)",ge,14,,
i182c, Did (s)he have diarrhoea for at least 4 weeks before death? drr 4+w,-Id10182,"(Id10182) For how many days did (s)he have frequent loose or liquid stools? Calculated as: if(${Id10182_units}='days', ${Id10182_a},${Id10182_b} * 30)",ge,28,,
i183o, Did the baby or child have at least 4 stools on the day that loose liquid stools were most frequent? 4+ stls,-Id10183,(Id10183) How many stools did the baby or child have on the day that loose liquid stools were most frequent?,ge,4,,
i184a, Did the frequent loose or liquid stools start at least 3 days before death? drr 3d,-Id10184_b,(Id10184_b) [Enter how long before death the frequent loose or liquid stools started in days],ge,3,,
i185o, Did the frequent loose or liquid stools continue up until death? drr to d,-Id10185,(Id10185) Did the frequent loose or liquid stools continue until death?,eq,yes,,
i186o, At any time during the final illness was there blood in the stools? drr bld,-Id10186,(Id10186) At any time during the final illness was there blood in the stools?,eq,yes,,
i187o, Was there blood in the stool up until death? dr bld d,-Id10187,(Id10187) Was there blood in the stool up until death?,eq,yes,,
i188o," During the illness that led to death, did (s)he vomit? vomit",-Id10188,(Id10188) Did (s)he vomit?,eq,yes,,
i189o, Did (s)he vomit in the week preceding the death? vom bd,-Id10189,(Id10189) To clarify: Did (s)he vomit in the week preceding the death?,eq,yes,,
i190o, Did (s)he vomit for at least 3 days before death? vom 3d,-Id10190_a,(Id10190_a) [Enter how long before death(s)he vomited in days],ge,3,,
i191o, Was there blood in the vomit? vom bld,-Id10191,(Id10191) Was there blood in the vomit?,eq,yes,,
i192o, Was the vomit black? vom blck,-Id10192,(Id10192) Was the vomit black?,eq,yes,,
i193o," During the illness that led to death, did (s)he have any abdominal (belly) problem? abdom",-Id10193,(Id10193) Did (s)he have any belly (abdominal) problem?,eq,yes,,
i194o, Did (s)he have abdominal pain? abd pain,-Id10194,(Id10194) Did (s)he have belly (abdominal) pain?,eq,yes,,
i195o, Was the abdominal pain severe? abd p sev,-Id10195,(Id10195) Was the belly (abdominal) pain severe?,eq,yes,,
i197a, Did (s)he have severe abdominal pain for less than 2 weeks before death? abd p <2w,-Id10197,(Id10197) Calculated number of Days with belly pain,lt,14,,
i197b, Did (s)he have severe abdominal pain for at least 2 weeks before death? abd p 2+w,-Id10197,(Id10197) Calculated number of Days with belly pain,ge,14,,
i199a, Was the pain in the upper abdomen? abd p up,-Id10199,(Id10199) Was the pain in the upper or lower belly (abdomen)?,eq,upper_lower_abdomen,,
i199a, Was the pain in the upper abdomen? abd p up,-Id10199,(Id10199) Was the pain in the upper or lower belly (abdomen)?,eq,upper_abdomen,,
i199b, Was the pain in the lower abdomen? abd p lo,-Id10199,(Id10199) Was the pain in the upper or lower belly (abdomen)?,eq,lower_abdomen,,
i199b, Was the pain in the lower abdomen? abd p lo,-Id10199,(Id10199) Was the pain in the upper or lower belly (abdomen)?,eq,upper_lower_abdomen,,
i200o, Did (s)he have a more than usually protruding abdomen? abd prot,-Id10200,(Id10200) Did (s)he have a more than usually protruding belly (abdomen)?,eq,yes,,
i201a, Did (s)he have a more than usually protruding abdomen for less than 2 weeks before death? abd pr <2w,-Id10201,(Id10201) Calculated number of Days with protruding belly (abdomen),lt,14,,
i201b, Did (s)he have a more than usually protruding abdomen for at least 2 weeks before death? abd pr 2+w,-Id10201,(Id10201) Calculated number of Days with protruding belly (abdomen),ge,14,,
i203a, Did (s)he develop the protruding abdomen rapidly? abd pr rap,-Id10203,(Id10203) How rapidly did (s)he develop the protruding belly (abdomen)?,eq,rapidly,,
i204o, Did (s)he have any mass in the abdomen? abd mass,-Id10204,(Id10204) Did (s)he have any mass in the belly (abdomen)?,eq,yes,,
i205a, Did (s)he have a mass in the abdomen for less than 2 weeks before death? ab ms <2w,-Id10205,(Id10205) Calculated number of Days with a mass in the belly (abdomen),lt,14,,
i205b, Did (s)he have a mass in the abdomen for at least 2 weeks before death? ab ms 2+w,-Id10205,(Id10205) Calculated number of Days with a mass in the belly (abdomen),ge,14,,
i207o," During the illness that led to death, did (s)he have a severe headache? headache",-Id10207,(Id10207) Did (s)he have a severe headache?,eq,yes,,
i208o," During the illness that led to death, did (s)he have a stiff neck? st neck",-Id10208,(Id10208) Did (s)he have a stiff neck during illness that led to death?,eq,yes,,
i209a, Did (s)he have a stiff neck for less than one week before death? st n <1w,-Id10209,(Id10209) For how many days before death did (s)he have stiff neck?,lt,7,,
i209b, Did (s)he have a stiff neck for at least one week before death? st n 1+w,-Id10209,(Id10209) For how many days before death did (s)he have stiff neck?,ge,7,,
i210o," During the illness that led to death, did (s)he have a painful neck? pain neck",-Id10210,(Id10210) Did (s)he have a painful neck during the illness that led to death?,eq,yes,,
i211a, Did (s)he have a painful neck for at least one week before death? pa n 1+w,-Id10211,(Id10211) For how many days before death did (s)he have a painful neck?,ge,7,,
i212o," During the illness that led to death, did (s)he have mental confusion?ment conf",-Id10212,(Id10212) Did (s)he have mental confusion?,eq,yes,,
i213o, Did (s)he have mental confusion for at least 3 months before death?menc 3+m,-Id10213,"(Id10213) For how many months did (s)he have mental confusion? Calculated as: if(${Id10213_units}='days', ${Id10213_a} div 30,${Id10213_b})",eq,yes,,
i214o," During the illness that led to death, was (s)he unconscious?uncons",-Id10214,(Id10214) Was (s)he unconscious during the illness that led to death?,eq,yes,,
i215o, Was (s)he unconscious for at least 24 hours before death?unc 24+h,-Id10215,(Id10215) Was (s)he unconscious for more than 24 hours before death?,eq,yes,,
i216a, Was (s)he unsconscious for at least 6 hours before death?unc 6+h,-Id10216,"(Id10216) How many hours before death did unconsciousness start? Calculated as: if(${Id10216_units}='days', ${Id10216_b} * 24,${Id10216_a})",ge,6,,
i217o," Did the unconsciousness start suddenly, quickly (at least within a single day)?unc sudd",-Id10217,"(Id10217) Did the unconsciousness start suddenly, quickly (at least within a single day)?",eq,yes,,
i218o, Did the unconsciousness continue until death?unc to d,-Id10218,(Id10218) Did the unconsciousness continue until death?,eq,yes,,
i219o," During the illness that led to death, did (s)he have any convulsions?conv",-Id10219,(Id10219) Did (s)he have convulsions?,eq,yes,,
i220o, Did (s)he experience any generalized convulsions or fits?conv gen,-Id10220,(Id10220) Did (s)he experience any generalized convulsions or fits during the illness that led to death?,eq,yes,,
i221a, Did the convulsions last for less than 10 minutes?conv <10m,-Id10221,(Id10221) For how many minutes did the convulsions last?,lt,10,,
i221b, Did the convulsions last for at least 10 minutes?conv 10+m,-Id10221,(Id10221) For how many minutes did the convulsions last?,ge,10,,
i222o, Did (s)he become unconscious immediately after the convulsion?conv unc,-Id10222,(Id10222) Did (s)he become unconscious immediately after the convulsion?,eq,yes,,
i223o," During the illness that led to death, did (s)he have any urine problems?urine",-Id10223,(Id10223) Did (s)he have any urine problems?,eq,yes,,
i224o, Did (s)he stop urinating?uri none,-Id10224,(Id10224) Did (s)he stop urinating?,eq,yes,,
i225o, Did (s)he go to urinate more often than usual?uri more,-Id10225,(Id10225) Did (s)he go to urinate more often than usual?,eq,yes,,
i226o, Did (s)he pass blood in the urine?uri bld,-Id10226,(Id10226) During the final illness did (s)he ever pass blood in the urine?,eq,yes,,
i227o," During the illness that led to death, did (s)he have any sores or ulcers anywhere?skin",-Id10227,(Id10227) Did (s)he have sores or ulcers anywhere on the body?,eq,yes,,
i228o, Did (s)he have sores?sk sores,-Id10228,(Id10228) Did (s)he have sores?,eq,yes,,
i229o, Did the sores have clear fluid and/or pus?sk s pus,-Id10229,(Id10229) Did the sores have clear fluid or pus?,eq,yes,,
i230o, Did (s)he have an ulcer (pit) on the foot?sk ul ft,-Id10230,(Id10230) Did (s)he have an ulcer (pit) on the foot?,eq,yes,,
i231o, Did any ulcer ooze pus?sk ul pus,-Id10231,(Id10231) Did the ulcer on the foot ooze pus?,eq,yes,,
i232a, Did the ulcer ooze pus for at least 2 weeks?sk ul 2+w,-Id10232,"(Id10232) For how many days did the ulcer on the foot ooze pus? Calculated as: if(${Id10232_units}='days', ${Id10232_a} div 30,${Id10232_b})",ge,14,,
i233o," During the illness that led to death, did (s)he have any skin rash?sk rash",-Id10233,"(Id10233) During the illness that led to death, did (s)he have any skin rash?",eq,yes,,
i234a, Did (s)he have the skin rash for less than one week?sk ra <1w,-Id10234,(Id10234) For how many days did (s)he have the skin rash?,lt,7,,
i234b, Did (s)he have the skin rash for at least one week?sk ra 1+w,-Id10234,(Id10234) For how many days did (s)he have the skin rash?,ge,7,,
i235a, Did (s)he have a rash on the face?sk ra face,-Id10235,(Id10235) Where was the rash?,eq,face,,
i235b, Did (s)he have a rash on the trunk or abdomen?sk ra abd,-Id10235,(Id10235) Where was the rash?,eq,abdomen,,
i235c, Did (s)he have a rash on the extremities?sk ra ext,-Id10235,(Id10235) Where was the rash?,eq,extremities,,
i235d, Did (s)he have a rash everywhere?sk ra all,-Id10235,(Id10235) Where was the rash?,eq,everywhere,,
i236o, Did (s)he have measles rash?sk ra meas,-Id10236,(Id10236) Did (s)he have measles rash (use local term)?,eq,yes,,
i237o, Did (s)he ever have shingles or herpes zoster?sk ra herp,-Id10237,(Id10237) Did (s)he ever have shingles or herpes zoster?,eq,yes,,
i238o," During the illness that led to death, did her/his skin flake off in patches?sk flake",-Id10238,"(Id10238) During the illness that led to death, did her/his skin flake off in patches?",eq,yes,,
i239o," During the illness that led to death, did he/she have areas of the skin that turned black?sk black",-Id10239,"(Id10239) During the illness that led to death, did he/she have areas of the skin that turned black?",eq,yes,,
i240o," During the illness that led to death, did he/she have areas of the skin with redness and swelling?sk red",-Id10240,"(Id10240) During the illness that led to death, did he/she have areas of the skin with redness and swelling?",eq,yes,,
